EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-1276.248,-7075.456,-2288.279,166.519,-7.211,3584.320,700.602,-5439.273,-0.134,0.988,-0.068,0.000,0.000,0.000,66.667,1.000,1.000
-8843.283,-49816.740,-16091.120,2128.984,-1332.309,25167.637,3108.126,-38057.442,-0.127,0.999,-0.080,0.000,0.000,0.000,66.667,2.000,1.000
-29264.661,-164203.307,-55707.305,12457.514,-8025.953,84007.322,2490.320,-125465.225,-0.127,1.003,-0.085,0.000,0.000,0.000,66.667,3.000,1.000
-62396.985,-338733.464,-132983.368,42487.044,-19340.987,182295.575,-17450.579,-264027.987,-0.130,1.004,-0.088,0.000,0.000,0.000,66.667,4.000,1.000
-95139.168,-488743.148,-254618.126,94659.445,-17260.818,296432.140,-78851.466,-405806.963,-0.130,1.005,-0.087,-0.580,-0.366,0.458,66.667,5.000,1.000
-105136.048,-509475.092,-406209.047,150690.384,26456.194,391764.632,-189962.969,-489886.342,-0.132,1.006,-0.091,-4.272,-3.510,3.326,66.667,6.000,1.000
-72590.853,-353734.152,-520570.701,188647.580,123871.564,440937.389,-317050.217,-478725.227,-0.131,1.007,-0.088,-1.709,-2.167,0.977,66.667,7.000,1.000
11488.464,-59368.307,-497070.890,208483.962,256664.493,434942.862,-378338.974,-373885.667,-0.131,1.007,-0.091,-0.977,-1.770,0.275,66.667,8.000,1.000
141012.262,276976.617,-285819.859,227202.795,386052.490,386392.904,-294084.097,-213805.242,-0.128,1.004,-0.088,-0.854,-1.831,0.000,66.667,9.000,1.000
289535.333,545836.092,62683.204,257232.199,472572.976,322369.301,-54785.101,-55202.813,-0.126,1.002,-0.091,-0.763,-1.984,-0.092,66.667,10.000,1.000
417287.279,675424.082,431320.301,298407.412,494106.413,268467.447,265533.626,56927.465,-0.128,0.999,-0.094,-0.702,-1.923,0.031,66.667,11.000,1.000
492522.582,666637.069,700870.158,340346.525,456076.519,235020.046,553214.199,111432.266,-0.125,0.998,-0.094,-0.580,-1.923,0.092,66.667,12.000,1.000
505367.153,580485.582,801238.098,365724.850,386371.160,216476.476,710640.804,127302.684,-0.124,1.001,-0.092,-0.488,-1.831,0.153,66.667,13.000,1.000
464076.881,483476.335,736575.927,358134.791,314466.155,201504.053,698794.280,129840.145,-0.124,1.002,-0.091,-0.458,-1.923,0.214,66.667,14.000,1.000
384478.989,402352.985,573478.723,312907.951,251193.243,180827.119,552103.998,131322.478,-0.125,1.003,-0.090,-0.397,-1.923,0.366,66.667,15.000,1.000
284138.039,327707.997,395773.020,240595.849,188515.180,147676.312,352202.630,131827.802,-0.126,1.003,-0.095,-0.580,-1.953,0.397,66.667,16.000,1.000
180653.211,248886.130,256363.704,158848.392,116834.423,97740.615,175963.661,131139.545,-0.124,1.004,-0.094,-0.610,-1.923,0.427,66.667,17.000,1.000
88880.033,173139.186,162583.175,80603.754,39154.369,32361.097,58961.521,133329.964,-0.123,1.004,-0.093,-0.671,-1.892,0.458,66.667,18.000,1.000
17833.991,113152.884,99755.933,10733.954,-31021.214,-39133.386,-1938.614,140319.460,-0.120,1.001,-0.093,-0.610,-1.923,0.549,66.667,19.000,1.000
-29723.676,69513.294,59608.595,-47330.269,-81924.475,-102120.226,-23474.520,146823.602,-0.118,0.999,-0.094,-0.519,-1.831,0.549,66.667,20.000,1.000
-55875.096,33299.566,42716.692,-87121.864,-111714.935,-144416.325,-19931.006,145614.384,-0.118,1.000,-0.094,-0.427,-1.770,0.549,66.667,21.000,1.000
-66594.898,890.710,42505.108,-104970.339,-126468.357,-163884.379,-5238.714,136361.962,-0.119,1.000,-0.094,-0.427,-1.648,0.671,66.667,22.000,1.000
-70574.012,-22111.981,40598.632,-107639.505,-133381.970,-168929.212,3454.098,126112.427,-0.119,1.000,-0.096,-0.549,-1.587,0.641,66.667,23.000,1.000
-75940.994,-32072.246,22778.971,-109119.474,-137067.903,-170976.709,-6150.988,120932.938,-0.120,1.003,-0.095,-0.458,-1.526,0.580,66.667,24.000,1.000
-86248.535,-35966.745,-6360.619,-118532.224,-140394.192,-176218.444,-31024.714,119694.039,-0.117,1.002,-0.095,-0.305,-1.465,0.488,66.667,25.000,1.000
-99569.901,-44860.379,-30491.004,-133445.568,-145752.582,-184082.454,-56026.709,117232.576,-0.119,1.004,-0.094,-0.336,-1.465,0.488,66.667,26.000,1.000
-111854.607,-61441.419,-41254.365,-145979.238,-154078.897,-191859.964,-69375.421,111576.568,-0.118,1.002,-0.091,-0.427,-1.404,0.366,66.667,27.000,1.000
-121010.173,-78301.275,-45702.508,-153009.383,-163588.332,-198784.561,-72667.918,105672.809,-0.118,1.000,-0.093,-0.397,-1.312,0.275,66.667,28.000,1.000
-127698.568,-88262.988,-54290.706,-158057.245,-171012.380,-205469.401,-75010.598,102484.956,-0.121,1.000,-0.097,-0.427,-1.343,0.275,66.667,29.000,1.000
-133083.891,-92593.764,-67285.565,-164566.532,-174538.322,-211311.993,-80751.100,100902.771,-0.119,1.001,-0.092,-0.458,-1.282,0.092,66.667,30.000,1.000
-137095.206,-97498.116,-76746.536,-170914.383,-175149.090,-214359.774,-86300.127,97649.798,-0.115,1.000,-0.094,-0.488,-1.282,-0.061,66.667,31.000,1.000
-139200.854,-105368.670,-78877.398,-173376.709,-175029.602,-213782.019,-87677.741,91825.936,-0.114,1.002,-0.094,-0.549,-1.129,-0.183,66.667,32.000,1.000
-139950.378,-112660.512,-79063.928,-171837.277,-175221.068,-211256.118,-86854.652,85821.390,-0.115,1.002,-0.091,-0.519,-1.099,-0.336,66.667,33.000,1.000
-140778.570,-115771.779,-83993.595,-170128.128,-175174.657,-209244.497,-88733.264,81937.712,-0.116,1.003,-0.093,-0.610,-1.007,-0.336,66.667,34.000,1.000
-142344.095,-115934.569,-92857.670,-171053.084,-174148.134,-208411.670,-94191.094,79625.403,-0.117,1.002,-0.096,-0.702,-1.038,-0.458,66.667,35.000,1.000
-143785.477,-117040.625,-99221.673,-173159.458,-172318.195,-207379.724,-99028.257,76674.808,-0.118,1.002,-0.093,-0.580,-1.007,-0.549,66.667,36.000,1.000
-143908.635,-120434.584,-99801.999,-173189.837,-170380.728,-204791.936,-99608.876,72184.412,-0.118,1.003,-0.092,-0.671,-0.854,-0.702,66.667,37.000,1.000
