Impedance measurement on 2026-07-03_15:35:38 (UTC+01:00)

Devices: NP-2026.05.01
Ch.no. 	Channel name 	Impedance values (kilo-ohm)
     1 	CZ           	invalid impedance (couldn't be measured, calculated or estimated)
     2 	2            	channel not selected
     3 	3            	invalid impedance (couldn't be measured, calculated or estimated)
     4 	4            	invalid impedance (couldn't be measured, calculated or estimated)
     5 	5            	invalid impedance (couldn't be measured, calculated or estimated)
     6 	6            	invalid impedance (couldn't be measured, calculated or estimated)
     7 	7            	invalid impedance (couldn't be measured, calculated or estimated)
     8 	8            	invalid impedance (couldn't be measured, calculated or estimated)
     9 	9            	invalid impedance (couldn't be measured, calculated or estimated)
    10 	10           	invalid impedance (couldn't be measured, calculated or estimated)
    11 	11           	invalid impedance (couldn't be measured, calculated or estimated)
    12 	12           	invalid impedance (couldn't be measured, calculated or estimated)
    13 	13           	invalid impedance (couldn't be measured, calculated or estimated)
    14 	14           	invalid impedance (couldn't be measured, calculated or estimated)
    15 	15           	invalid impedance (couldn't be measured, calculated or estimated)
    16 	16           	invalid impedance (couldn't be measured, calculated or estimated)
    17 	17           	invalid impedance (couldn't be measured, calculated or estimated)
    18 	18           	invalid impedance (couldn't be measured, calculated or estimated)
    19 	19           	invalid impedance (couldn't be measured, calculated or estimated)
    20 	20           	invalid impedance (couldn't be measured, calculated or estimated)
    21 	21           	invalid impedance (couldn't be measured, calculated or estimated)
    22 	22           	invalid impedance (couldn't be measured, calculated or estimated)
    23 	23           	invalid impedance (couldn't be measured, calculated or estimated)
    24 	24           	invalid impedance (couldn't be measured, calculated or estimated)
    25 	25           	invalid impedance (couldn't be measured, calculated or estimated)
    26 	26           	invalid impedance (couldn't be measured, calculated or estimated)
    27 	27           	invalid impedance (couldn't be measured, calculated or estimated)
    28 	28           	invalid impedance (couldn't be measured, calculated or estimated)
    29 	29           	invalid impedance (couldn't be measured, calculated or estimated)
    30 	30           	invalid impedance (couldn't be measured, calculated or estimated)
    31 	31           	invalid impedance (couldn't be measured, calculated or estimated)
    32 	32           	invalid impedance (couldn't be measured, calculated or estimated)
