Session_Condition,Total_Trials,Model,Accuracy (%),Std (%),Balanced_Acc (%),Macro_F1
ses-01_all,83,Riemannian TS + LogReg,19.191176470588236,5.5532963495585905,19.518716577540108,0.1935124952566813
ses-01_all,83,Riemannian TS + SVM (RBF),20.514705882352942,8.885809611776937,19.318181818181817,0.1640232911571358
ses-01_all,83,Riemannian MDM,27.794117647058826,3.546222221113969,29.144385026737968,0.2163525132275132
ses-01_all,83,One-vs-Rest CSP + LDA,44.19117647058823,17.172541855288237,43.38235294117647,0.4355766972046041
ses-01_all,83,Bandpower + Random Forest,27.86764705882353,11.82063909653446,26.47058823529412,0.24911172161172157
ses-01_all,83,PyTorch EEGNet DL,19.044117647058822,14.465685443950516,19.85294117647059,0.19154309047926069
ses-02_all,12,Riemannian TS + LogReg,33.33333333333333,11.785113019775793,33.33333333333333,0.3194444444444444
ses-02_all,12,Riemannian TS + SVM (RBF),25.0,0.0,25.0,0.13636363636363635
ses-02_all,12,Riemannian MDM,25.0,0.0,25.0,0.13636363636363635
ses-02_all,12,One-vs-Rest CSP + LDA,58.333333333333336,11.785113019775793,58.33333333333333,0.5654761904761905
ses-02_all,12,Bandpower + Random Forest,16.666666666666664,11.785113019775793,16.666666666666664,0.125
ses-02_all,12,PyTorch EEGNet DL,25.0,0.0,25.0,0.1625
ses-02_recall,8,Riemannian TS + LogReg,12.5,12.5,12.5,0.08333333333333333
ses-02_recall,8,Riemannian TS + SVM (RBF),12.5,12.5,12.5,0.08333333333333333
ses-02_recall,8,Riemannian MDM,25.0,0.0,25.0,0.18333333333333335
ses-02_recall,8,Bandpower + Random Forest,25.0,0.0,25.0,0.14285714285714285
ses-02_recall,8,PyTorch EEGNet DL,12.5,12.5,12.5,0.08333333333333333
ses-03_all,24,Riemannian TS + LogReg,22.000000000000004,20.39607805437114,20.833333333333332,0.22948232323232323
ses-03_all,24,Riemannian TS + SVM (RBF),13.0,16.61324772583615,12.5,0.10882352941176471
ses-03_all,24,Riemannian MDM,21.000000000000004,18.0,20.833333333333332,0.21761363636363637
ses-03_all,24,One-vs-Rest CSP + LDA,100.0,0.0,100.0,1.0
ses-03_all,24,Bandpower + Random Forest,13.0,10.770329614269007,12.5,0.11538461538461539
ses-03_all,24,PyTorch EEGNet DL,27.999999999999996,16.0,29.166666666666664,0.21875
ses-04_all,16,Riemannian TS + LogReg,50.0,0.0,50.0,0.48928571428571427
ses-04_all,16,Riemannian TS + SVM (RBF),43.75,20.72890493972125,43.75,0.4361111111111111
ses-04_all,16,Riemannian MDM,56.25,10.825317547305483,56.25,0.5330086580086579
ses-04_all,16,One-vs-Rest CSP + LDA,100.0,0.0,100.0,1.0
ses-04_all,16,Bandpower + Random Forest,25.0,17.67766952966369,25.0,0.22698412698412698
ses-04_all,16,PyTorch EEGNet DL,25.0,0.0,25.0,0.2103174603174603
