Category,Configuration,Primary Algorithm,Accuracy,Balanced Accuracy,F1-Score
Cognitive Component,Imagine Phase Only (Mental Recall),TS-LogReg,25.66%,25.66%,0.2573
Cognitive Component,Visual Flicker Phase Only (SSVEP / Cue),TS-LogReg,28.95%,28.95%,0.2817
Cognitive Component,Auditory Cue Phase Only (Song Listening),TS-LogReg,28.29%,28.29%,0.2819
Cognitive Component,Multiphase Fusion (Cue + Flicker + Imagine),TS-LogReg,26.32%,26.32%,0.2633
Cognitive Component,Imagine + Auditory Perceptual Whitening (Listening C_ref),TS-LogReg,25.66%,25.66%,0.2562
Feature Extraction,Riemannian Tangent Space,TS-LogReg,25.66%,25.66%,0.2573
Feature Extraction,Multi-Band Spectral PSD (Delta-Gamma),TS-LogReg,21.71%,21.71%,0.2075
Feature Extraction,Time-Domain & Hjorth Statistics,TS-LogReg,18.42%,18.42%,0.1829
Feature Extraction,Full Multi-Feature Early Fusion (Riemannian + Spectral + Time),TS-LogReg,26.97%,26.97%,0.2711
Feature Extraction,One-vs-Rest CSP (8 Filters),CSP-sLDA,25.00%,25.00%,0.2330
Channel Ablation,All 32 Channels (Full Montage),TS-LogReg,25.66%,25.66%,0.2573
Channel Ablation,Frontal Subsystem (Ch 1-8),TS-LogReg,12.50%,12.50%,0.1153
Channel Ablation,Central / Sensorimotor Subsystem (Ch 9-16),TS-LogReg,17.76%,17.76%,0.1779
Channel Ablation,Parietal Subsystem (Ch 17-24),TS-LogReg,19.74%,19.74%,0.1992
Channel Ablation,Occipital / Visual Subsystem (Ch 25-32),TS-LogReg,21.71%,21.71%,0.2188
Channel Ablation,"Sensorimotor + Parietal (Ch 9-24, 16 Chs)",TS-LogReg,25.00%,25.00%,0.2477
Channel Ablation,Left Hemisphere Channels (Odd),TS-LogReg,19.08%,19.08%,0.1852
Channel Ablation,Right Hemisphere Channels (Even),TS-LogReg,20.39%,20.39%,0.2089
Channel Ablation,21 Active High-Quality Channels,TS-LogReg,25.00%,25.00%,0.2534
Deep Learning Model,PyTorch EEGNet (Joint 152 Trials),EEGNet (2D+Depthwise),30.37%,30.45%,0.2920
Cross-Session Generalization,Train TD_1 -> Test TD_2,TS-LogReg,18.42%,18.42%,N/A
