onset	duration	trial_type	value	sample
1.948	0.1	Video_Dataset_Experiment_Start	166	487
1.948	0.1	Audio_Enabled_True	1	487
1.948	0.1	Audio_Normalized_True	2	487
1.948	0.1	Rest_Start	4	487
3.44	0.1	Rest_End	3	860
3.44	0.1	Trial_Start_1	85	860
3.444	0.1	Video_Start_water_EXTERNAL_AUDIO_water.m4a_NORM_ACTIVE	173	861
6.456	0.1	Video_End_water	169	1614
6.456	0.1	Trial_End_1	5	1614
6.456	0.1	Rest_Start	4	1614
7.964	0.1	Rest_End	3	1991
7.968	0.1	Trial_Start_2	96	1992
7.968	0.1	Video_Start_earth_EXTERNAL_AUDIO_earth.m4a_NORM_ACTIVE	171	1992
10.968	0.1	Video_End_earth	167	2742
10.968	0.1	Trial_End_2	16	2742
10.972	0.1	Rest_Start	4	2743
12.484	0.1	Rest_End	3	3121
12.488	0.1	Trial_Start_3	107	3122
12.488	0.1	Video_Start_wind_EXTERNAL_AUDIO_wind.m4a_NORM_ACTIVE	174	3122
15.484	0.1	Video_End_wind	170	3871
15.484	0.1	Trial_End_3	27	3871
15.488	0.1	Rest_Start	4	3872
16.996	0.1	Rest_End	3	4249
17.0	0.1	Trial_Start_4	118	4250
17.0	0.1	Video_Start_fire_EXTERNAL_AUDIO_fire.m4a_NORM_ACTIVE	172	4250
20.0	0.1	Video_End_fire	168	5000
20.004	0.1	Trial_End_4	38	5001
20.004	0.1	Rest_Start	4	5001
21.508	0.1	Rest_End	3	5377
21.512	0.1	Trial_Start_5	129	5378
21.512	0.1	Video_Start_earth_EXTERNAL_AUDIO_earth.m4a_NORM_ACTIVE	171	5378
24.52	0.1	Video_End_earth	167	6130
24.52	0.1	Trial_End_5	49	6130
24.524	0.1	Rest_Start	4	6131
26.024	0.1	Rest_End	3	6506
26.028	0.1	Trial_Start_6	140	6507
26.028	0.1	Video_Start_wind_EXTERNAL_AUDIO_wind.m4a_NORM_ACTIVE	174	6507
29.04	0.1	Video_End_wind	170	7260
29.04	0.1	Trial_End_6	60	7260
29.04	0.1	Rest_Start	4	7260
30.552	0.1	Rest_End	3	7638
30.556	0.1	Trial_Start_7	151	7639
30.556	0.1	Video_Start_water_EXTERNAL_AUDIO_water.m4a_NORM_ACTIVE	173	7639
33.564	0.1	Video_End_water	169	8391
33.564	0.1	Trial_End_7	71	8391
33.564	0.1	Rest_Start	4	8391
35.068	0.1	Rest_End	3	8767
35.068	0.1	Trial_Start_8	162	8767
35.068	0.1	Video_Start_fire_EXTERNAL_AUDIO_fire.m4a_NORM_ACTIVE	172	8767
38.08	0.1	Video_End_fire	168	9520
38.08	0.1	Trial_End_8	82	9520
38.08	0.1	Rest_Start	4	9520
39.584	0.1	Rest_End	3	9896
39.588	0.1	Trial_Start_9	164	9897
39.588	0.1	Video_Start_wind_EXTERNAL_AUDIO_wind.m4a_NORM_ACTIVE	174	9897
42.596	0.1	Video_End_wind	170	10649
42.596	0.1	Trial_End_9	84	10649
42.6	0.1	Rest_Start	4	10650
44.108	0.1	Rest_End	3	11027
44.108	0.1	Trial_Start_10	86	11027
44.108	0.1	Video_Start_water_EXTERNAL_AUDIO_water.m4a_NORM_ACTIVE	173	11027
47.112	0.1	Video_End_water	169	11778
47.112	0.1	Trial_End_10	6	11778
47.112	0.1	Rest_Start	4	11778
48.612	0.1	Rest_End	3	12153
48.616	0.1	Trial_Start_11	87	12154
