onset	duration	trial_type	value	sample
2.0	0.0	Experiment_Start_Sub_sub-01_Ses_ses-02_Paradigm_AllInOne4Class_Mode_VisualOnly	16	500
2.004	0.0	Audio_Started_BillieJean_PosMS_0	3	501
2.004	0.0	Block_Start_Music_Idx_1	7	501
2.004	0.0	Trial_Start_1_Dir_Left	79	501
4.008	1.0	Cue_Left	11	1002
5.004	4.0	Task_Left	19	1251
9.004	0.0	Rest	17	2251
11.004	0.0	Trial_End_1	22	2751
11.004	0.0	Trial_Start_2_Dir_Right	98	2751
13.004	1.0	Cue_Right	12	3251
14.012	4.0	Task_Right	20	3503
18.004	0.0	Rest	17	4501
20.004	0.0	Trial_End_2	33	5001
20.004	0.0	Trial_Start_3_Dir_Bottom	117	5001
22.0	1.0	Cue_Bottom	10	5500
23.004	4.0	Task_Bottom	18	5751
27.0	0.0	Rest	17	6750
29.004	0.0	Trial_End_3	44	7251
29.004	0.0	Trial_Start_4_Dir_Top	123	7251
31.004	1.0	Cue_Top	13	7751
32.0	4.0	Task_Top	21	8000
36.012	0.0	Rest	17	9003
38.012	0.0	Trial_End_4	55	9503
38.012	0.0	Block_End_Idx_1	5	9503
38.012	0.0	Experiment_End	14	9503
116.888	0.0	Experiment_Start_Sub_sub-01_Ses_ses-02_Paradigm_AllInOne4Class_Mode_VisualOnly	16	29222
116.888	0.0	Audio_Stopped	4	29222
116.888	0.0	Block_Start_NoMusic_Idx_1	8	29222
116.888	0.0	Trial_Start_1_Dir_Left	79	29222
118.892	1.0	Cue_Left	11	29723
119.892	4.0	Task_Left	19	29973
123.908	0.0	Rest	17	30977
125.924	0.0	Trial_End_1	22	31481
125.924	0.0	Trial_Start_2_Dir_Right	98	31481
127.932	1.0	Cue_Right	12	31983
128.936	4.0	Task_Right	20	32234
132.928	0.0	Rest	17	33232
152.332	0.0	Experiment_Start_Sub_sub-01_Ses_ses-02_Paradigm_AllInOne4Class_Mode_AudioEyesClosed	15	38083
152.332	0.0	Audio_Started_BillieJean_PosMS_0	3	38083
152.332	0.0	Block_Start_Music_Idx_1	7	38083
152.332	0.0	Trial_Start_1_Dir_Left	79	38083
154.332	1.0	Cue_Left	11	38583
154.332	1.0	AudioCue_Played_LEFT	1	38583
155.332	4.0	Task_Left	19	38833
159.332	0.0	Rest	17	39833
161.332	0.0	Trial_End_1	22	40333
161.332	0.0	Trial_Start_2_Dir_Top	99	40333
163.332	1.0	Cue_Top	13	40833
163.332	1.0	AudioCue_Played_TOP	2	40833
164.332	4.0	Task_Top	21	41083
181.304	0.0	Experiment_Start_Sub_sub-01_Ses_ses-02_Paradigm_AllInOne4Class_Mode_VisualOnly	16	45326
181.308	0.0	Audio_Started_BillieJean_PosMS_0	3	45327
181.308	0.0	Block_Start_Music_Idx_1	7	45327
181.308	0.0	Trial_Start_1_Dir_Top	80	45327
183.316	1.0	Cue_Top	13	45829
184.316	4.0	Task_Top	21	46079
188.316	0.0	Rest	17	47079
190.316	0.0	Trial_End_1	22	47579
190.316	0.0	Trial_Start_2_Dir_Left	97	47579
192.316	1.0	Cue_Left	11	48079
193.316	4.0	Task_Left	19	48329
197.316	0.0	Rest	17	49329
199.316	0.0	Trial_End_2	33	49829
199.316	0.0	Trial_Start_3_Dir_Top	118	49829
201.316	1.0	Cue_Top	13	50329
202.316	4.0	Task_Top	21	50579
206.316	0.0	Rest	17	51579
208.324	0.0	Trial_End_3	44	52081
208.324	0.0	Trial_Start_4_Dir_Right	122	52081
210.316	1.0	Cue_Right	12	52579
211.324	4.0	Task_Right	20	52831
215.316	0.0	Rest	17	53829
217.32	0.0	Trial_End_4	55	54330
217.32	0.0	Trial_Start_5_Dir_Top	125	54330
219.316	1.0	Cue_Top	13	54829
220.316	4.0	Task_Top	21	55079
224.316	0.0	Rest	17	56079
226.316	0.0	Trial_End_5	57	56579
226.316	0.0	Trial_Start_6_Dir_Top	127	56579
228.316	1.0	Cue_Top	13	57079
229.316	4.0	Task_Top	21	57329
233.316	0.0	Rest	17	58329
235.324	0.0	Trial_End_6	58	58831
235.324	0.0	Trial_Start_7_Dir_Right	129	58831
237.316	1.0	Cue_Right	12	59329
238.316	4.0	Task_Right	20	59579
242.316	0.0	Rest	17	60579
244.316	0.0	Trial_End_7	59	61079
244.316	0.0	Trial_Start_8_Dir_Top	131	61079
246.316	1.0	Cue_Top	13	61579
247.316	4.0	Task_Top	21	61829
251.316	0.0	Rest	17	62829
253.32	0.0	Trial_End_8	60	63330
253.32	0.0	Trial_Start_9_Dir_Bottom	132	63330
255.316	1.0	Cue_Bottom	10	63829
256.316	4.0	Task_Bottom	18	64079
260.316	0.0	Rest	17	65079
262.316	0.0	Trial_End_9	61	65579
262.316	0.0	Trial_Start_10_Dir_Left	63	65579
264.316	1.0	Cue_Left	11	66079
265.316	4.0	Task_Left	19	66329
269.324	0.0	Rest	17	67331
271.316	0.0	Trial_End_10	23	67829
271.316	0.0	Trial_Start_11_Dir_Bottom	64	67829
273.316	1.0	Cue_Bottom	10	68329
274.316	4.0	Task_Bottom	18	68579
278.316	0.0	Rest	17	69579
280.316	0.0	Trial_End_11	24	70079
280.316	0.0	Trial_Start_12_Dir_Left	66	70079
282.316	1.0	Cue_Left	11	70579
283.316	4.0	Task_Left	19	70829
287.316	0.0	Rest	17	71829
289.316	0.0	Trial_End_12	25	72329
289.316	0.0	Trial_Start_13_Dir_Bottom	68	72329
291.316	1.0	Cue_Bottom	10	72829
292.316	4.0	Task_Bottom	18	73079
296.316	0.0	Rest	17	74079
298.316	0.0	Trial_End_13	26	74579
298.316	0.0	Trial_Start_14_Dir_Right	70	74579
300.316	1.0	Cue_Right	12	75079
301.316	4.0	Task_Right	20	75329
305.32	0.0	Rest	17	76330
307.316	0.0	Trial_End_14	27	76829
307.316	0.0	Trial_Start_15_Dir_Right	71	76829
309.316	1.0	Cue_Right	12	77329
310.316	4.0	Task_Right	20	77579
314.316	0.0	Rest	17	78579
316.316	0.0	Trial_End_15	28	79079
316.316	0.0	Trial_Start_16_Dir_Left	72	79079
318.316	1.0	Cue_Left	11	79579
319.316	4.0	Task_Left	19	79829
323.316	0.0	Rest	17	80829
325.32	0.0	Trial_End_16	29	81330
325.32	0.0	Trial_Start_17_Dir_Right	73	81330
327.316	1.0	Cue_Right	12	81829
328.324	4.0	Task_Right	20	82081
332.316	0.0	Rest	17	83079
334.316	0.0	Trial_End_17	30	83579
334.316	0.0	Trial_Start_18_Dir_Top	76	83579
336.316	1.0	Cue_Top	13	84079
337.316	4.0	Task_Top	21	84329
341.324	0.0	Rest	17	85331
343.316	0.0	Trial_End_18	31	85829
343.316	0.0	Trial_Start_19_Dir_Bottom	77	85829
345.324	1.0	Cue_Bottom	10	86331
346.316	4.0	Task_Bottom	18	86579
350.316	0.0	Rest	17	87579
352.316	0.0	Trial_End_19	32	88079
352.316	0.0	Trial_Start_20_Dir_Top	82	88079
354.316	1.0	Cue_Top	13	88579
355.316	4.0	Task_Top	21	88829
359.316	0.0	Rest	17	89829
361.316	0.0	Trial_End_20	34	90329
361.316	0.0	Trial_Start_21_Dir_Bottom	83	90329
363.316	1.0	Cue_Bottom	10	90829
364.316	4.0	Task_Bottom	18	91079
368.316	0.0	Rest	17	92079
370.316	0.0	Trial_End_21	35	92579
370.316	0.0	Trial_Start_22_Dir_Top	85	92579
372.316	1.0	Cue_Top	13	93079
373.316	4.0	Task_Top	21	93329
377.316	0.0	Rest	17	94329
379.316	0.0	Trial_End_22	36	94829
379.316	0.0	Trial_Start_23_Dir_Left	86	94829
381.324	1.0	Cue_Left	11	95331
382.316	4.0	Task_Left	19	95579
386.316	0.0	Rest	17	96579
388.316	0.0	Trial_End_23	37	97079
388.316	0.0	Trial_Start_24_Dir_Bottom	88	97079
390.316	1.0	Cue_Bottom	10	97579
391.316	4.0	Task_Bottom	18	97829
395.316	0.0	Rest	17	98829
397.316	0.0	Trial_End_24	38	99329
397.316	0.0	Trial_Start_25_Dir_Right	89	99329
399.316	1.0	Cue_Right	12	99829
400.316	4.0	Task_Right	20	100079
404.316	0.0	Rest	17	101079
406.316	0.0	Trial_End_25	39	101579
406.316	0.0	Trial_Start_26_Dir_Bottom	90	101579
408.316	1.0	Cue_Bottom	10	102079
409.316	4.0	Task_Bottom	18	102329
413.316	0.0	Rest	17	103329
415.32	0.0	Trial_End_26	40	103830
415.32	0.0	Trial_Start_27_Dir_Left	92	103830
417.316	1.0	Cue_Left	11	104329
418.316	4.0	Task_Left	19	104579
422.316	0.0	Rest	17	105579
424.316	0.0	Trial_End_27	41	106079
424.316	0.0	Trial_Start_28_Dir_Bottom	93	106079
426.316	1.0	Cue_Bottom	10	106579
427.316	4.0	Task_Bottom	18	106829
431.316	0.0	Rest	17	107829
433.32	0.0	Trial_End_28	42	108330
433.32	0.0	Trial_Start_29_Dir_Top	96	108330
435.316	1.0	Cue_Top	13	108829
436.316	4.0	Task_Top	21	109079
440.316	0.0	Rest	17	110079
442.316	0.0	Trial_End_29	43	110579
442.316	0.0	Trial_Start_30_Dir_Right	101	110579
444.316	1.0	Cue_Right	12	111079
445.316	4.0	Task_Right	20	111329
449.316	0.0	Rest	17	112329
451.316	0.0	Trial_End_30	45	112829
451.316	0.0	Trial_Start_31_Dir_Right	102	112829
453.316	1.0	Cue_Right	12	113329
454.316	4.0	Task_Right	20	113579
458.316	0.0	Rest	17	114579
460.316	0.0	Trial_End_31	46	115079
460.316	0.0	Trial_Start_32_Dir_Bottom	104	115079
462.316	1.0	Cue_Bottom	10	115579
463.316	4.0	Task_Bottom	18	115829
467.316	0.0	Rest	17	116829
469.316	0.0	Trial_End_32	47	117329
469.316	0.0	Trial_Start_33_Dir_Right	105	117329
471.316	1.0	Cue_Right	12	117829
472.316	4.0	Task_Right	20	118079
476.316	0.0	Rest	17	119079
478.316	0.0	Trial_End_33	48	119579
478.316	0.0	Trial_Start_34_Dir_Bottom	106	119579
480.316	1.0	Cue_Bottom	10	120079
481.316	4.0	Task_Bottom	18	120329
485.316	0.0	Rest	17	121329
487.316	0.0	Trial_End_34	49	121829
487.316	0.0	Trial_Start_35_Dir_Left	108	121829
489.316	1.0	Cue_Left	11	122329
490.316	4.0	Task_Left	19	122579
494.324	0.0	Rest	17	123581
496.316	0.0	Trial_End_35	50	124079
496.316	0.0	Trial_Start_36_Dir_Left	110	124079
498.316	1.0	Cue_Left	11	124579
499.316	4.0	Task_Left	19	124829
503.324	0.0	Rest	17	125831
505.324	0.0	Trial_End_36	51	126331
505.324	0.0	Trial_Start_37_Dir_Right	112	126331
507.316	1.0	Cue_Right	12	126829
508.316	4.0	Task_Right	20	127079
512.316	0.0	Rest	17	128079
514.316	0.0	Trial_End_37	52	128579
514.316	0.0	Trial_Start_38_Dir_Left	114	128579
516.316	1.0	Cue_Left	11	129079
517.324	4.0	Task_Left	19	129331
521.316	0.0	Rest	17	130329
523.32	0.0	Trial_End_38	53	130830
523.32	0.0	Trial_Start_39_Dir_Left	116	130830
525.316	1.0	Cue_Left	11	131329
526.316	4.0	Task_Left	19	131579
530.316	0.0	Rest	17	132579
532.324	0.0	Trial_End_39	54	133081
532.324	0.0	Trial_Start_40_Dir_Top	120	133081
534.316	1.0	Cue_Top	13	133579
535.316	4.0	Task_Top	21	133829
