name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
EEG001	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG002	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG003	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG004	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG005	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG006	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG007	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG008	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG009	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG010	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG011	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG012	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG013	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG014	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG015	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG016	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG017	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG018	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG019	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG020	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG021	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG022	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG023	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG024	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG025	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG026	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG027	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG028	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG029	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG030	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG031	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG032	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
EEG033	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
