onset	duration	trial_type	value	sample
7.7	0.0	Song_Start	9	1925
8.056	0.0	Arrow_Left_Spawn	2	2014
8.556	0.0	Arrow_Left_Spawn	2	2139
9.052	0.0	Arrow_Left_Spawn	2	2263
9.552	0.0	Arrow_Left_Spawn	2	2388
10.052	0.0	Arrow_Left_Spawn	2	2513
10.184	0.0	Left_Pressed	7	2546
10.184	0.0	Left_Perfect	6	2546
10.256	0.0	Arrow_Left_HitZone	1	2564
10.552	0.0	Arrow_Left_Spawn	2	2638
10.676	0.0	Left_Pressed	7	2669
10.68	0.0	Left_Perfect	6	2670
10.752	0.0	Arrow_Left_HitZone	1	2688
11.052	0.0	Arrow_Left_Spawn	2	2763
11.176	0.0	Left_Pressed	7	2794
11.176	0.0	Left_Perfect	6	2794
11.252	0.0	Arrow_Left_HitZone	1	2813
11.544	0.0	Arrow_Left_Spawn	2	2886
11.656	0.0	Left_Pressed	7	2914
11.656	0.0	Left_Great	4	2914
11.752	0.0	Arrow_Left_HitZone	1	2938
12.044	0.0	Arrow_Left_Spawn	2	3011
12.156	0.0	Left_Pressed	7	3039
12.156	0.0	Left_Great	4	3039
12.252	0.0	Arrow_Left_HitZone	1	3063
12.544	0.0	Arrow_Left_Spawn	2	3136
12.664	0.0	Left_Pressed	7	3166
12.664	0.0	Left_Perfect	6	3166
12.752	0.0	Arrow_Left_HitZone	1	3188
13.044	0.0	Arrow_Left_Spawn	2	3261
13.176	0.0	Left_Pressed	7	3294
13.176	0.0	Left_Perfect	6	3294
13.252	0.0	Arrow_Left_HitZone	1	3313
13.544	0.0	Arrow_Left_Spawn	2	3386
13.66	0.0	Left_Pressed	7	3415
13.66	0.0	Left_Perfect	6	3415
13.744	0.0	Arrow_Left_HitZone	1	3436
14.044	0.0	Arrow_Left_Spawn	2	3511
14.208	0.0	Left_Pressed	7	3552
14.208	0.0	Left_Perfect	6	3552
14.244	0.0	Arrow_Left_HitZone	1	3561
14.544	0.0	Arrow_Left_Spawn	2	3636
14.632	0.0	Left_Pressed	7	3658
14.632	0.0	Left_Great	4	3658
14.744	0.0	Arrow_Left_HitZone	1	3686
15.044	0.0	Arrow_Left_Spawn	2	3761
15.132	0.0	Left_Pressed	7	3783
15.132	0.0	Left_Great	4	3783
15.244	0.0	Arrow_Left_HitZone	1	3811
