onset	duration	trial_type	value	sample
38.792	0.0	Song_Start	10	9698
41.42	0.0	Arrow_Left_Spawn	2	10355
41.628	0.0	Arrow_Left_Spawn	2	10407
41.888	0.0	Arrow_Left_Spawn	2	10472
42.128	0.0	Arrow_Left_Spawn	2	10532
42.408	0.0	Arrow_Left_Spawn	2	10602
42.636	0.0	Arrow_Left_Spawn	2	10659
42.912	0.0	Arrow_Left_Spawn	2	10728
43.148	0.0	Arrow_Left_Spawn	2	10787
43.404	0.0	Arrow_Left_Spawn	2	10851
43.496	0.0	Left_Pressed	8	10874
43.496	0.0	Left_Great	4	10874
43.62	0.0	Arrow_Left_HitZone	1	10905
43.636	0.0	Arrow_Left_Spawn	2	10909
43.712	0.0	Left_Pressed	8	10928
43.712	0.0	Left_Great	4	10928
43.828	0.0	Arrow_Left_HitZone	1	10957
43.864	0.0	Arrow_Left_Spawn	2	10966
43.932	0.0	Left_Pressed	8	10983
43.932	0.0	Left_Great	4	10983
44.064	0.0	Arrow_Left_Spawn	2	11016
44.084	0.0	Arrow_Left_HitZone	1	11021
44.204	0.0	Left_Pressed	8	11051
44.204	0.0	Left_Great	4	11051
44.324	0.0	Arrow_Left_Spawn	2	11081
44.328	0.0	Arrow_Left_HitZone	1	11082
44.448	0.0	Left_Pressed	8	11112
44.448	0.0	Left_Great	4	11112
44.572	0.0	Arrow_Left_Spawn	2	11143
44.608	0.0	Arrow_Left_HitZone	1	11152
44.696	0.0	Left_Pressed	8	11174
44.696	0.0	Left_Great	4	11174
44.788	0.0	Arrow_Left_Spawn	2	11197
44.836	0.0	Arrow_Left_HitZone	1	11209
44.876	0.0	Left_Pressed	8	11219
44.876	0.0	Left_Ok	6	11219
45.064	0.0	Arrow_Left_Spawn	2	11266
45.1	0.0	Left_Pressed	8	11275
45.1	0.0	Left_Ok	6	11275
45.112	0.0	Arrow_Left_HitZone	1	11278
45.348	0.0	Arrow_Left_HitZone	1	11337
45.368	0.0	Left_Pressed	8	11342
45.368	0.0	Left_Ok	6	11342
45.604	0.0	Arrow_Left_HitZone	1	11401
45.688	0.0	Left_Pressed	8	11422
45.688	0.0	Left_Great	4	11422
45.836	0.0	Arrow_Left_HitZone	1	11459
45.924	0.0	Left_Pressed	8	11481
45.924	0.0	Left_Great	4	11481
46.064	0.0	Arrow_Left_HitZone	1	11516
46.16	0.0	Left_Pressed	8	11540
46.16	0.0	Left_Great	4	11540
46.264	0.0	Arrow_Left_HitZone	1	11566
46.412	0.0	Left_Pressed	8	11603
46.412	0.0	Left_Great	4	11603
46.52	0.0	Arrow_Left_HitZone	1	11630
46.632	0.0	Left_Pressed	8	11658
46.632	0.0	Left_Great	4	11658
46.772	0.0	Arrow_Left_HitZone	1	11693
46.868	0.0	Left_Pressed	8	11717
46.868	0.0	Left_Great	4	11717
46.988	0.0	Arrow_Left_HitZone	1	11747
47.12	0.0	Left_Pressed	8	11780
47.12	0.0	Left_Great	4	11780
47.264	0.0	Arrow_Left_HitZone	1	11816
49.416	0.0	Arrow_Left_Spawn	2	12354
49.624	0.0	Arrow_Left_Spawn	2	12406
49.888	0.0	Arrow_Left_Spawn	2	12472
50.124	0.0	Arrow_Left_Spawn	2	12531
50.332	0.0	Arrow_Left_Spawn	2	12583
50.868	0.0	Arrow_Left_Spawn	2	12717
51.392	0.0	Arrow_Left_Spawn	2	12848
