onset	duration	trial_type	value	sample
3.432	0.0	Song_Start	10	858
6.068	0.0	Arrow_Left_Spawn	2	1517
6.276	0.0	Arrow_Left_Spawn	2	1569
6.532	0.0	Arrow_Left_Spawn	2	1633
6.776	0.0	Arrow_Left_Spawn	2	1694
7.056	0.0	Arrow_Left_Spawn	2	1764
7.284	0.0	Arrow_Left_Spawn	2	1821
7.56	0.0	Arrow_Left_Spawn	2	1890
7.796	0.0	Arrow_Left_Spawn	2	1949
8.052	0.0	Arrow_Left_Spawn	2	2013
8.268	0.0	Arrow_Left_HitZone	1	2067
8.276	0.0	Left_Miss	5	2069
8.284	0.0	Arrow_Left_Spawn	2	2071
8.456	0.0	Left_Pressed	8	2114
8.456	0.0	Left_Perfect	7	2114
8.476	0.0	Arrow_Left_HitZone	1	2119
8.512	0.0	Arrow_Left_Spawn	2	2128
8.68	0.0	Left_Pressed	8	2170
8.68	0.0	Left_Perfect	7	2170
8.712	0.0	Arrow_Left_Spawn	2	2178
8.732	0.0	Arrow_Left_HitZone	1	2183
8.88	0.0	Left_Pressed	8	2220
8.88	0.0	Left_Great	4	2220
8.968	0.0	Arrow_Left_Spawn	2	2242
8.976	0.0	Arrow_Left_HitZone	1	2244
9.1	0.0	Left_Pressed	8	2275
9.1	0.0	Left_Great	4	2275
9.22	0.0	Arrow_Left_Spawn	2	2305
9.256	0.0	Arrow_Left_HitZone	1	2314
9.336	0.0	Left_Pressed	8	2334
9.336	0.0	Left_Great	4	2334
9.436	0.0	Arrow_Left_Spawn	2	2359
9.484	0.0	Arrow_Left_HitZone	1	2371
9.56	0.0	Left_Pressed	8	2390
9.56	0.0	Left_Ok	6	2390
9.712	0.0	Arrow_Left_Spawn	2	2428
9.764	0.0	Arrow_Left_HitZone	1	2441
9.776	0.0	Left_Pressed	8	2444
9.776	0.0	Left_Ok	6	2444
9.996	0.0	Arrow_Left_HitZone	1	2499
10.004	0.0	Left_Pressed	8	2501
10.004	0.0	Left_Ok	6	2501
10.252	0.0	Arrow_Left_HitZone	1	2563
10.26	0.0	Left_Pressed	8	2565
10.26	0.0	Left_Ok	6	2565
10.484	0.0	Left_Pressed	8	2621
10.484	0.0	Left_Ok	6	2621
10.484	0.0	Arrow_Left_HitZone	1	2621
10.712	0.0	Arrow_Left_HitZone	1	2678
10.72	0.0	Left_Pressed	8	2680
10.72	0.0	Left_Good	3	2680
10.912	0.0	Arrow_Left_HitZone	1	2728
10.984	0.0	Left_Pressed	8	2746
10.984	0.0	Left_Good	3	2746
11.168	0.0	Arrow_Left_HitZone	1	2792
11.224	0.0	Left_Pressed	8	2806
11.224	0.0	Left_Good	3	2806
11.42	0.0	Arrow_Left_HitZone	1	2855
11.432	0.0	Left_Pressed	8	2858
11.432	0.0	Left_Ok	6	2858
11.636	0.0	Arrow_Left_HitZone	1	2909
11.66	0.0	Left_Pressed	8	2915
11.664	0.0	Left_Ok	6	2916
11.912	0.0	Left_Pressed	8	2978
11.912	0.0	Arrow_Left_HitZone	1	2978
12.188	0.0	Left_Pressed	8	3047
14.064	0.0	Arrow_Left_Spawn	2	3516
14.272	0.0	Arrow_Left_Spawn	2	3568
14.536	0.0	Arrow_Left_Spawn	2	3634
14.772	0.0	Arrow_Left_Spawn	2	3693
14.98	0.0	Arrow_Left_Spawn	2	3745
15.512	0.0	Arrow_Left_Spawn	2	3878
16.04	0.0	Arrow_Left_Spawn	2	4010
16.172	0.0	Left_Pressed	8	4043
16.172	0.0	Left_Perfect	7	4043
16.256	0.0	Arrow_Left_Spawn	2	4064
16.264	0.0	Arrow_Left_HitZone	1	4066
16.372	0.0	Left_Pressed	8	4093
16.376	0.0	Left_Great	4	4094
16.472	0.0	Arrow_Left_HitZone	1	4118
16.532	0.0	Arrow_Left_Spawn	2	4133
16.56	0.0	Left_Pressed	8	4140
16.56	0.0	Left_Good	3	4140
16.728	0.0	Arrow_Left_Spawn	2	4182
16.736	0.0	Arrow_Left_HitZone	1	4184
16.796	0.0	Left_Pressed	8	4199
16.796	0.0	Left_Good	3	4199
16.972	0.0	Arrow_Left_HitZone	1	4243
16.984	0.0	Arrow_Left_Spawn	2	4246
16.992	0.0	Left_Pressed	8	4248
16.992	0.0	Left_Good	3	4248
17.18	0.0	Arrow_Left_HitZone	1	4295
17.192	0.0	Left_Pressed	8	4298
