onset	duration	trial_type	value	sample
48.976	0.0	Song_Start	15	12244
49.24	0.0	Listen_Start	12	12310
50.096	0.0	Arrow_Right_Spawn	6	12524
50.704	0.0	Arrow_Left_Spawn	4	12676
51.412	0.0	Arrow_Left_Spawn	4	12853
52.072	0.0	Listen_End	11	13018
52.08	0.0	Arrow_Right_Spawn	6	13020
52.296	0.0	Arrow_Right_HitZone	5	13074
52.3	0.0	Right_Miss	13	13075
52.904	0.0	Arrow_Left_HitZone	3	13226
52.912	0.0	Left_Miss	10	13228
53.612	0.0	Arrow_Left_HitZone	3	13403
53.62	0.0	Left_Miss	10	13405
54.28	0.0	Arrow_Right_HitZone	5	13570
54.288	0.0	Right_Miss	13	13572
54.48	0.0	Listen_Start	12	13620
55.416	0.0	Arrow_Right_Spawn	6	13854
56.02	0.0	Arrow_Left_Spawn	4	14005
56.68	0.0	Arrow_Right_Spawn	6	14170
57.396	0.0	Listen_End	11	14349
57.616	0.0	Arrow_Right_HitZone	5	14404
57.624	0.0	Right_Miss	13	14406
58.22	0.0	Arrow_Left_HitZone	3	14555
58.228	0.0	Left_Miss	10	14557
58.88	0.0	Arrow_Right_HitZone	5	14720
58.888	0.0	Right_Miss	13	14722
59.104	0.0	Listen_Start	12	14776
60.768	0.0	Arrow_Left_Spawn	4	15192
62.008	0.0	Arrow_Left_Spawn	4	15502
62.688	0.0	Arrow_Right_Spawn	6	15672
62.768	0.0	Listen_End	11	15692
62.968	0.0	Arrow_Left_HitZone	3	15742
62.976	0.0	Left_Miss	10	15744
64.208	0.0	Arrow_Left_HitZone	3	16052
64.216	0.0	Left_Miss	10	16054
64.888	0.0	Arrow_Right_HitZone	5	16222
64.896	0.0	Right_Miss	13	16224
65.196	0.0	Listen_Start	12	16299
66.068	0.0	Arrow_Left_Spawn	4	16517
66.556	0.0	Arrow_Right_Spawn	6	16639
67.984	0.0	Arrow_Left_Spawn	4	16996
68.076	0.0	Listen_End	11	17019
68.268	0.0	Arrow_Left_HitZone	3	17067
68.276	0.0	Left_Miss	10	17069
68.756	0.0	Arrow_Right_HitZone	5	17189
68.764	0.0	Right_Miss	13	17191
70.184	0.0	Arrow_Left_HitZone	3	17546
70.192	0.0	Left_Miss	10	17548
70.6	0.0	Listen_Start	12	17650
71.872	0.0	Arrow_Left_Spawn	4	17968
72.488	0.0	Arrow_Right_Spawn	6	18122
73.196	0.0	Arrow_Right_Spawn	6	18299
73.788	0.0	Listen_End	11	18447
74.072	0.0	Arrow_Left_HitZone	3	18518
74.076	0.0	Left_Miss	10	18519
74.688	0.0	Arrow_Right_HitZone	5	18672
74.696	0.0	Right_Miss	13	18674
75.396	0.0	Arrow_Right_HitZone	5	18849
75.404	0.0	Right_Miss	13	18851
75.672	0.0	Listen_Start	12	18918
76.616	0.0	Arrow_Left_Spawn	4	19154
77.9	0.0	Arrow_Right_Spawn	6	19475
78.532	0.0	Listen_End	11	19633
78.816	0.0	Arrow_Left_HitZone	3	19704
78.824	0.0	Left_Miss	10	19706
80.1	0.0	Arrow_Right_HitZone	5	20025
