onset	duration	trial_type	value	sample
0.0	5.0	Pre_Music_Rest	24	0
5.0	289.432	Track_Start_id_3_name_Thunderstruck_element_ELECTRICITY	3	1250
5.0	3.0	Start Listen	25	1250
7.99	0.01	ELECTRICITY selected	3	1997
8.0	3.0	Start Listen	25	2000
10.99	0.01	ELECTRICITY selected	3	2747
11.0	3.0	Start Listen	25	2750
13.99	0.01	ELECTRICITY selected	3	3497
14.0	3.0	Start Listen	25	3500
16.99	0.01	ELECTRICITY selected	3	4247
17.0	3.0	Start Listen	25	4250
19.99	0.01	ELECTRICITY selected	3	4997
20.0	3.0	Start Listen	25	5000
22.99	0.01	ELECTRICITY selected	3	5747
23.0	3.0	Start Listen	25	5750
25.99	0.01	ELECTRICITY selected	3	6497
26.0	3.0	Start Listen	25	6500
28.99	0.01	ELECTRICITY selected	3	7247
29.0	3.0	Start Listen	25	7250
31.99	0.01	ELECTRICITY selected	3	7997
32.0	3.0	Start Listen	25	8000
34.99	0.01	ELECTRICITY selected	3	8747
35.0	3.0	Start Listen	25	8750
37.99	0.01	ELECTRICITY selected	3	9497
38.0	3.0	Start Listen	25	9500
40.99	0.01	ELECTRICITY selected	3	10247
41.0	3.0	Start Listen	25	10250
43.99	0.01	ELECTRICITY selected	3	10997
44.0	3.0	Start Listen	25	11000
46.99	0.01	ELECTRICITY selected	3	11747
47.0	3.0	Start Listen	25	11750
49.99	0.01	ELECTRICITY selected	3	12497
50.0	3.0	Start Listen	25	12500
52.99	0.01	ELECTRICITY selected	3	13247
53.0	3.0	Start Listen	25	13250
55.99	0.01	ELECTRICITY selected	3	13997
56.0	3.0	Start Listen	25	14000
58.99	0.01	ELECTRICITY selected	3	14747
59.0	3.0	Start Listen	25	14750
61.99	0.01	ELECTRICITY selected	3	15497
62.0	3.0	Start Listen	25	15500
64.99	0.01	ELECTRICITY selected	3	16247
65.0	3.0	Start Listen	25	16250
67.99	0.01	ELECTRICITY selected	3	16997
68.0	3.0	Start Listen	25	17000
70.99	0.01	ELECTRICITY selected	3	17747
71.0	3.0	Start Listen	25	17750
73.99	0.01	ELECTRICITY selected	3	18497
74.0	3.0	Start Listen	25	18500
76.99	0.01	ELECTRICITY selected	3	19247
77.0	3.0	Start Listen	25	19250
79.99	0.01	ELECTRICITY selected	3	19997
80.0	3.0	Start Listen	25	20000
82.99	0.01	ELECTRICITY selected	3	20747
83.0	3.0	Start Listen	25	20750
85.99	0.01	ELECTRICITY selected	3	21497
86.0	3.0	Start Listen	25	21500
88.99	0.01	ELECTRICITY selected	3	22247
89.0	3.0	Start Listen	25	22250
91.99	0.01	ELECTRICITY selected	3	22997
92.0	3.0	Start Listen	25	23000
94.99	0.01	ELECTRICITY selected	3	23747
95.0	3.0	Start Listen	25	23750
97.99	0.01	ELECTRICITY selected	3	24497
98.0	3.0	Start Listen	25	24500
100.99	0.01	ELECTRICITY selected	3	25247
101.0	3.0	Start Listen	25	25250
103.99	0.01	ELECTRICITY selected	3	25997
104.0	3.0	Start Listen	25	26000
106.99	0.01	ELECTRICITY selected	3	26747
107.0	3.0	Start Listen	25	26750
109.99	0.01	ELECTRICITY selected	3	27497
110.0	3.0	Start Listen	25	27500
112.99	0.01	ELECTRICITY selected	3	28247
113.0	3.0	Start Listen	25	28250
115.99	0.01	ELECTRICITY selected	3	28997
116.0	3.0	Start Listen	25	29000
118.99	0.01	ELECTRICITY selected	3	29747
119.0	3.0	Start Listen	25	29750
121.99	0.01	ELECTRICITY selected	3	30497
122.0	3.0	Start Listen	25	30500
124.99	0.01	ELECTRICITY selected	3	31247
125.0	3.0	Start Listen	25	31250
127.99	0.01	ELECTRICITY selected	3	31997
128.0	3.0	Start Listen	25	32000
130.99	0.01	ELECTRICITY selected	3	32747
131.0	3.0	Start Listen	25	32750
133.99	0.01	ELECTRICITY selected	3	33497
134.0	3.0	Start Listen	25	33500
136.99	0.01	ELECTRICITY selected	3	34247
137.0	3.0	Start Listen	25	34250
139.99	0.01	ELECTRICITY selected	3	34997
140.0	3.0	Start Listen	25	35000
142.99	0.01	ELECTRICITY selected	3	35747
143.0	3.0	Start Listen	25	35750
145.99	0.01	ELECTRICITY selected	3	36497
146.0	3.0	Start Listen	25	36500
148.99	0.01	ELECTRICITY selected	3	37247
149.0	3.0	Start Listen	25	37250
151.99	0.01	ELECTRICITY selected	3	37997
152.0	3.0	Start Listen	25	38000
154.99	0.01	ELECTRICITY selected	3	38747
155.0	3.0	Start Listen	25	38750
157.99	0.01	ELECTRICITY selected	3	39497
158.0	3.0	Start Listen	25	39500
160.99	0.01	ELECTRICITY selected	3	40247
161.0	3.0	Start Listen	25	40250
163.99	0.01	ELECTRICITY selected	3	40997
164.0	3.0	Start Listen	25	41000
166.99	0.01	ELECTRICITY selected	3	41747
167.0	3.0	Start Listen	25	41750
169.99	0.01	ELECTRICITY selected	3	42497
170.0	3.0	Start Listen	25	42500
172.99	0.01	ELECTRICITY selected	3	43247
173.0	3.0	Start Listen	25	43250
175.99	0.01	ELECTRICITY selected	3	43997
176.0	3.0	Start Listen	25	44000
178.99	0.01	ELECTRICITY selected	3	44747
179.0	3.0	Start Listen	25	44750
181.99	0.01	ELECTRICITY selected	3	45497
182.0	3.0	Start Listen	25	45500
184.99	0.01	ELECTRICITY selected	3	46247
185.0	3.0	Start Listen	25	46250
187.99	0.01	ELECTRICITY selected	3	46997
188.0	3.0	Start Listen	25	47000
190.99	0.01	ELECTRICITY selected	3	47747
191.0	3.0	Start Listen	25	47750
193.99	0.01	ELECTRICITY selected	3	48497
194.0	3.0	Start Listen	25	48500
196.99	0.01	ELECTRICITY selected	3	49247
197.0	3.0	Start Listen	25	49250
199.99	0.01	ELECTRICITY selected	3	49997
200.0	3.0	Start Listen	25	50000
202.99	0.01	ELECTRICITY selected	3	50747
203.0	3.0	Start Listen	25	50750
205.99	0.01	ELECTRICITY selected	3	51497
206.0	3.0	Start Listen	25	51500
208.99	0.01	ELECTRICITY selected	3	52247
209.0	3.0	Start Listen	25	52250
211.99	0.01	ELECTRICITY selected	3	52997
212.0	3.0	Start Listen	25	53000
214.99	0.01	ELECTRICITY selected	3	53747
215.0	3.0	Start Listen	25	53750
217.99	0.01	ELECTRICITY selected	3	54497
218.0	3.0	Start Listen	25	54500
220.99	0.01	ELECTRICITY selected	3	55247
221.0	3.0	Start Listen	25	55250
223.99	0.01	ELECTRICITY selected	3	55997
224.0	3.0	Start Listen	25	56000
226.99	0.01	ELECTRICITY selected	3	56747
227.0	3.0	Start Listen	25	56750
229.99	0.01	ELECTRICITY selected	3	57497
230.0	3.0	Start Listen	25	57500
232.99	0.01	ELECTRICITY selected	3	58247
233.0	3.0	Start Listen	25	58250
235.99	0.01	ELECTRICITY selected	3	58997
236.0	3.0	Start Listen	25	59000
238.99	0.01	ELECTRICITY selected	3	59747
239.0	3.0	Start Listen	25	59750
241.99	0.01	ELECTRICITY selected	3	60497
242.0	3.0	Start Listen	25	60500
244.99	0.01	ELECTRICITY selected	3	61247
245.0	3.0	Start Listen	25	61250
247.99	0.01	ELECTRICITY selected	3	61997
248.0	3.0	Start Listen	25	62000
250.99	0.01	ELECTRICITY selected	3	62747
251.0	3.0	Start Listen	25	62750
253.99	0.01	ELECTRICITY selected	3	63497
254.0	3.0	Start Listen	25	63500
256.99	0.01	ELECTRICITY selected	3	64247
257.0	3.0	Start Listen	25	64250
259.99	0.01	ELECTRICITY selected	3	64997
260.0	3.0	Start Listen	25	65000
262.99	0.01	ELECTRICITY selected	3	65747
263.0	3.0	Start Listen	25	65750
265.99	0.01	ELECTRICITY selected	3	66497
266.0	3.0	Start Listen	25	66500
268.99	0.01	ELECTRICITY selected	3	67247
269.0	3.0	Start Listen	25	67250
271.99	0.01	ELECTRICITY selected	3	67997
272.0	3.0	Start Listen	25	68000
274.99	0.01	ELECTRICITY selected	3	68747
275.0	3.0	Start Listen	25	68750
277.99	0.01	ELECTRICITY selected	3	69497
278.0	3.0	Start Listen	25	69500
280.99	0.01	ELECTRICITY selected	3	70247
281.0	3.0	Start Listen	25	70250
