onset	duration	trial_type	value	sample
38.98	0.1	Experiment_Start_Sub_01_Ses_02_Paradigm_FullLengthMusic_Tracks_6	4	9745
38.98	0.1	Experiment_Start_Sub_01_Ses_02_Paradigm_FullLengthMusic_Tracks_6	4	9745
38.98	0.1	Baseline_Rest_Start	2	9745
38.98	10.0	Baseline_Rest_Start_dur_10.0s	3	9745
48.98	0.1	Baseline_Rest_End	1	12245
48.98	0.1	Baseline_Rest_End	1	12245
48.98	0.1	Track_Start_id_1_name_Bach_Prelude	64	12245
48.98	132.73689342403628	Track_Start_id_1_name_Bach_Prelude_dur_132.7s	65	12245
79.336	0.1	Track_Checkpoint_id_1_sec_30	9	19834
79.336	0.1	Track_Checkpoint_id_1_sec_30	9	19834
109.336	0.1	Track_Checkpoint_id_1_sec_60	10	27334
109.336	0.1	Track_Checkpoint_id_1_sec_60	10	27334
139.336	0.1	Track_Checkpoint_id_1_sec_90	11	34834
139.336	0.1	Track_Checkpoint_id_1_sec_90	11	34834
169.336	0.1	Track_Checkpoint_id_1_sec_120	8	42334
169.336	0.1	Track_Checkpoint_id_1_sec_120	8	42334
182.068	0.1	Track_End_id_1_name_Bach_Prelude	59	45517
182.068	0.1	Track_End_id_1_name_Bach_Prelude	59	45517
182.068	0.1	InterTrack_Rest_Start	6	45517
182.068	5.0	InterTrack_Rest_Start_dur_5.0s	7	45517
187.068	0.1	InterTrack_Rest_End	5	46767
187.068	0.1	InterTrack_Rest_End	5	46767
187.068	0.1	Track_Start_id_2_name_Beethoven_Fur_Elise	66	46767
187.068	229.1693650793651	Track_Start_id_2_name_Beethoven_Fur_Elise_dur_229.2s	67	46767
217.296	0.1	Track_Checkpoint_id_2_sec_30	16	54324
217.296	0.1	Track_Checkpoint_id_2_sec_30	16	54324
247.296	0.1	Track_Checkpoint_id_2_sec_60	17	61824
247.296	0.1	Track_Checkpoint_id_2_sec_60	17	61824
277.296	0.1	Track_Checkpoint_id_2_sec_90	18	69324
277.296	0.1	Track_Checkpoint_id_2_sec_90	18	69324
307.296	0.1	Track_Checkpoint_id_2_sec_120	12	76824
307.296	0.1	Track_Checkpoint_id_2_sec_120	12	76824
337.296	0.1	Track_Checkpoint_id_2_sec_150	13	84324
337.296	0.1	Track_Checkpoint_id_2_sec_150	13	84324
367.296	0.1	Track_Checkpoint_id_2_sec_180	14	91824
367.296	0.1	Track_Checkpoint_id_2_sec_180	14	91824
397.296	0.1	Track_Checkpoint_id_2_sec_210	15	99324
397.296	0.1	Track_Checkpoint_id_2_sec_210	15	99324
416.464	0.1	Track_End_id_2_name_Beethoven_Fur_Elise	60	104116
416.464	0.1	Track_End_id_2_name_Beethoven_Fur_Elise	60	104116
416.464	0.1	InterTrack_Rest_Start	6	104116
416.464	5.0	InterTrack_Rest_Start_dur_5.0s	7	104116
421.48	0.1	InterTrack_Rest_End	5	105370
421.48	0.1	InterTrack_Rest_End	5	105370
421.48	0.1	Track_Start_id_3_name_Joplin_Entertainer	68	105370
