onset	duration	trial_type	value	sample
8.26	0.1	Experiment_Start_Sub_01_Ses_04_Paradigm_MusicMemoryRecall_CueDur_5.0s	8	2065
8.264	0.1	Trial_Start_1_Track_Track_4	56	2066
8.264	0.1	Cue_Audio_Sample_Track_4	4	2066
13.276	0.1	Task_Recall_Track_4	13	3319
18.284	0.1	Rest	9	4571
20.78	0.1	Trial_End_1	16	5195
20.78	0.1	Trial_Start_2_Track_Track_5	67	5195
20.78	0.1	Cue_Audio_Sample_Track_5	5	5195
25.776	0.1	Task_Recall_Track_5	14	6444
30.784	0.1	Rest	9	7696
33.28	0.1	Trial_End_2	27	8320
33.28	0.1	Trial_Start_3_Track_Track_5	69	8320
33.28	0.1	Cue_Audio_Sample_Track_5	5	8320
38.28	0.1	Task_Recall_Track_5	14	9570
43.276	0.1	Rest	9	10819
45.784	0.1	Trial_End_3	38	11446
45.784	0.1	Trial_Start_4_Track_Track_6	70	11446
45.784	0.1	Cue_Audio_Sample_Track_6	6	11446
50.792	0.1	Task_Recall_Track_6	15	12698
55.796	0.1	Rest	9	13949
58.308	0.1	Trial_End_4	40	14577
58.308	0.1	Trial_Start_5_Track_Track_1	71	14577
58.308	0.1	Cue_Audio_Sample_Track_1	1	14577
63.308	0.1	Task_Recall_Track_1	10	15827
68.308	0.1	Rest	9	17077
70.82	0.1	Trial_End_5	41	17705
70.82	0.1	Trial_Start_6_Track_Track_3	72	17705
70.82	0.1	Cue_Audio_Sample_Track_3	3	17705
75.824	0.1	Task_Recall_Track_3	12	18956
80.824	0.1	Rest	9	20206
83.328	0.1	Trial_End_6	42	20832
83.328	0.1	Trial_Start_7_Track_Track_6	73	20832
83.328	0.1	Cue_Audio_Sample_Track_6	6	20832
88.324	0.1	Task_Recall_Track_6	15	22081
93.324	0.1	Rest	9	23331
95.84	0.1	Trial_End_7	43	23960
95.84	0.1	Trial_Start_8_Track_Track_6	74	23960
95.84	0.1	Cue_Audio_Sample_Track_6	6	23960
100.84	0.1	Task_Recall_Track_6	15	25210
105.84	0.1	Rest	9	26460
108.336	0.1	Trial_End_8	44	27084
108.34	0.1	Trial_Start_9_Track_Track_1	75	27085
108.34	0.1	Cue_Audio_Sample_Track_1	1	27085
113.34	0.1	Task_Recall_Track_1	10	28335
118.336	0.1	Rest	9	29584
120.84	0.1	Trial_End_9	45	30210
120.84	0.1	Trial_Start_10_Track_Track_2	46	30210
120.84	0.1	Cue_Audio_Sample_Track_2	2	30210
125.856	0.1	Task_Recall_Track_2	11	31464
130.876	0.1	Rest	9	32719
133.384	0.1	Trial_End_10	17	33346
133.384	0.1	Trial_Start_11_Track_Track_3	47	33346
133.384	0.1	Cue_Audio_Sample_Track_3	3	33346
138.392	0.1	Task_Recall_Track_3	12	34598
143.392	0.1	Rest	9	35848
145.896	0.1	Trial_End_11	18	36474
145.896	0.1	Trial_Start_12_Track_Track_4	48	36474
145.896	0.1	Cue_Audio_Sample_Track_4	4	36474
150.9	0.1	Task_Recall_Track_4	13	37725
155.908	0.1	Rest	9	38977
158.412	0.1	Trial_End_12	19	39603
158.412	0.1	Trial_Start_13_Track_Track_2	49	39603
158.416	0.1	Cue_Audio_Sample_Track_2	2	39604
163.416	0.1	Task_Recall_Track_2	11	40854
168.432	0.1	Rest	9	42108
170.932	0.1	Trial_End_13	20	42733
170.936	0.1	Trial_Start_14_Track_Track_3	50	42734
170.936	0.1	Cue_Audio_Sample_Track_3	3	42734
175.932	0.1	Task_Recall_Track_3	12	43983
180.932	0.1	Rest	9	45233
183.432	0.1	Trial_End_14	21	45858
183.432	0.1	Trial_Start_15_Track_Track_1	51	45858
183.432	0.1	Cue_Audio_Sample_Track_1	1	45858
188.432	0.1	Task_Recall_Track_1	10	47108
193.444	0.1	Rest	9	48361
195.952	0.1	Trial_End_15	22	48988
195.952	0.1	Trial_Start_16_Track_Track_3	52	48988
195.952	0.1	Cue_Audio_Sample_Track_3	3	48988
200.948	0.1	Task_Recall_Track_3	12	50237
205.952	0.1	Rest	9	51488
208.456	0.1	Trial_End_16	23	52114
208.456	0.1	Trial_Start_17_Track_Track_4	53	52114
208.456	0.1	Cue_Audio_Sample_Track_4	4	52114
213.448	0.1	Task_Recall_Track_4	13	53362
218.456	0.1	Rest	9	54614
220.96	0.1	Trial_End_17	24	55240
220.96	0.1	Trial_Start_18_Track_Track_4	54	55240
220.96	0.1	Cue_Audio_Sample_Track_4	4	55240
225.964	0.1	Task_Recall_Track_4	13	56491
230.964	0.1	Rest	9	57741
233.464	0.1	Trial_End_18	25	58366
