onset	duration	trial_type	value	sample
9.212	0.1	Experiment_Start_Sub_01_Ses_05_Paradigm_MusicMemoryRecall_CueDur_5.0s	8	2303
9.212	0.1	Trial_Start_1_Track_Track_4	56	2303
9.212	5.0	Cue_Audio_Sample_Track_4	4	2303
14.256	5.0	Task_Recall_Track_4	13	3564
19.264	2.5	Rest	9	4816
21.772	0.1	Trial_End_1	16	5443
21.772	0.1	Trial_Start_2_Track_Track_6	67	5443
21.772	5.0	Cue_Audio_Sample_Track_6	6	5443
26.772	5.0	Task_Recall_Track_6	15	6693
31.788	2.5	Rest	9	7947
34.288	0.1	Trial_End_2	27	8572
34.288	0.1	Trial_Start_3_Track_Track_1	69	8572
34.288	5.0	Cue_Audio_Sample_Track_1	1	8572
39.288	5.0	Task_Recall_Track_1	10	9822
44.288	2.5	Rest	9	11072
46.792	0.1	Trial_End_3	38	11698
46.792	0.1	Trial_Start_4_Track_Track_5	70	11698
46.792	5.0	Cue_Audio_Sample_Track_5	5	11698
51.792	5.0	Task_Recall_Track_5	14	12948
56.788	2.5	Rest	9	14197
59.304	0.1	Trial_End_4	40	14826
59.304	0.1	Trial_Start_5_Track_Track_6	71	14826
59.304	5.0	Cue_Audio_Sample_Track_6	6	14826
64.308	5.0	Task_Recall_Track_6	15	16077
69.304	2.5	Rest	9	17326
71.804	0.1	Trial_End_5	41	17951
71.804	0.1	Trial_Start_6_Track_Track_1	72	17951
71.804	5.0	Cue_Audio_Sample_Track_1	1	17951
76.804	5.0	Task_Recall_Track_1	10	19201
81.816	2.5	Rest	9	20454
84.312	0.1	Trial_End_6	42	21078
84.312	0.1	Trial_Start_7_Track_Track_4	73	21078
84.312	5.0	Cue_Audio_Sample_Track_4	4	21078
89.304	5.0	Task_Recall_Track_4	13	22326
94.32	2.5	Rest	9	23580
96.82	0.1	Trial_End_7	43	24205
96.82	0.1	Trial_Start_8_Track_Track_3	74	24205
96.82	5.0	Cue_Audio_Sample_Track_3	3	24205
101.824	5.0	Task_Recall_Track_3	12	25456
106.82	2.5	Rest	9	26705
109.32	0.1	Trial_End_8	44	27330
109.32	0.1	Trial_Start_9_Track_Track_3	75	27330
109.32	5.0	Cue_Audio_Sample_Track_3	3	27330
114.32	5.0	Task_Recall_Track_3	12	28580
119.324	2.5	Rest	9	29831
121.832	0.1	Trial_End_9	45	30458
121.832	0.1	Trial_Start_10_Track_Track_1	46	30458
121.832	5.0	Cue_Audio_Sample_Track_1	1	30458
126.836	5.0	Task_Recall_Track_1	10	31709
131.844	2.5	Rest	9	32961
134.36	0.1	Trial_End_10	17	33590
134.36	0.1	Trial_Start_11_Track_Track_3	47	33590
134.36	5.0	Cue_Audio_Sample_Track_3	3	33590
139.356	5.0	Task_Recall_Track_3	12	34839
144.352	2.5	Rest	9	36088
146.852	0.1	Trial_End_11	18	36713
146.852	0.1	Trial_Start_12_Track_Track_4	48	36713
146.852	5.0	Cue_Audio_Sample_Track_4	4	36713
151.852	5.0	Task_Recall_Track_4	13	37963
156.856	2.5	Rest	9	39214
159.348	0.1	Trial_End_12	19	39837
159.348	0.1	Trial_Start_13_Track_Track_2	49	39837
159.348	5.0	Cue_Audio_Sample_Track_2	2	39837
164.356	5.0	Task_Recall_Track_2	11	41089
169.356	2.5	Rest	9	42339
171.852	0.1	Trial_End_13	20	42963
171.852	0.1	Trial_Start_14_Track_Track_1	50	42963
171.852	5.0	Cue_Audio_Sample_Track_1	1	42963
176.856	5.0	Task_Recall_Track_1	10	44214
181.852	2.5	Rest	9	45463
184.352	0.1	Trial_End_14	21	46088
184.352	0.1	Trial_Start_15_Track_Track_5	51	46088
184.352	5.0	Cue_Audio_Sample_Track_5	5	46088
189.352	5.0	Task_Recall_Track_5	14	47338
194.352	2.5	Rest	9	48588
196.856	0.1	Trial_End_15	22	49214
196.856	0.1	Trial_Start_16_Track_Track_5	52	49214
196.856	5.0	Cue_Audio_Sample_Track_5	5	49214
201.856	5.0	Task_Recall_Track_5	14	50464
206.864	2.5	Rest	9	51716
209.356	0.1	Trial_End_16	23	52339
209.356	0.1	Trial_Start_17_Track_Track_4	53	52339
209.356	5.0	Cue_Audio_Sample_Track_4	4	52339
214.36	5.0	Task_Recall_Track_4	13	53590
219.364	2.5	Rest	9	54841
221.856	0.1	Trial_End_17	24	55464
221.856	0.1	Trial_Start_18_Track_Track_3	54	55464
221.856	5.0	Cue_Audio_Sample_Track_3	3	55464
226.856	5.0	Task_Recall_Track_3	12	56714
