onset	duration	trial_type	value	sample
2.0	0.0	Experiment_Start_Sub_sub-01_Ses_ses-04_Paradigm_MusicMemoryRecall6Track_RealSlices	5	500
2.0	0.0	Trial_Start_1_Track_Track_5	15	500
2.0	1.0	Cue_Audio_Sample_Track_5	4	500
5.036	4.0	Task_Recall_Track_5	10	1259
10.044	0.0	Rest	6	2511
12.536	0.0	Trial_End_1	11	3134
12.536	0.0	Trial_Start_2_Track_Track_4	16	3134
12.536	1.0	Cue_Audio_Sample_Track_4	3	3134
15.536	4.0	Task_Recall_Track_4	9	3884
20.548	0.0	Rest	6	5137
23.064	0.0	Trial_End_2	12	5766
23.064	0.0	Trial_Start_3_Track_Track_5	17	5766
23.064	1.0	Cue_Audio_Sample_Track_5	4	5766
26.072	4.0	Task_Recall_Track_5	10	6518
31.088	0.0	Rest	6	7772
33.584	0.0	Trial_End_3	13	8396
33.584	0.0	Trial_Start_4_Track_Track_1	18	8396
33.584	1.0	Cue_Audio_Sample_Track_1	1	8396
36.584	4.0	Task_Recall_Track_1	7	9146
41.596	0.0	Rest	6	10399
44.084	0.0	Trial_End_4	14	11021
44.084	0.0	Trial_Start_5_Track_Track_2	19	11021
44.084	1.0	Cue_Audio_Sample_Track_2	2	11021
47.096	2.004472	Task_Recall_Track_2	8	11774
