onset	duration	trial_type	value	sample
9.772	0.0	Game_Started_scene_reverse_four_elements	6	2443
14.756	4.989	Box start blinking	1	3689
20.26	5.501	Box stop blinking	2	5065
20.26	0.0	WATER selected	7	5065
34.756	14.499	Box start blinking	1	8689
40.292	5.534	Box stop blinking	2	10073
40.292	0.001	ELECTRICITY selected	3	10073
54.792	14.498	Box start blinking	1	13698
60.324	5.534	Box stop blinking	2	15081
60.324	0.0	FIRE selected	4	15081
74.824	14.499	Box start blinking	1	18706
80.356	5.534	Box stop blinking	2	20089
80.36	0.001	WIND selected	8	20090
89.092	8.731	Game Finished	5	22273
105.9	0.0	Game_Started_scene_reverse_four_elements	6	26475
110.888	4.991	Box start blinking	1	27722
116.424	5.534	Box stop blinking	2	29106
116.424	0.001	WATER selected	7	29106
130.92	14.498	Box start blinking	1	32730
136.456	5.534	Box stop blinking	2	34114
136.456	0.001	ELECTRICITY selected	3	34114
150.988	14.532	Box start blinking	1	37747
156.52	5.534	Box stop blinking	2	39130
156.524	0.001	FIRE selected	4	39131
170.756	14.232	Box start blinking	1	42689
176.288	5.533	Box stop blinking	2	44072
176.288	0.001	WIND selected	8	44072
185.252	8.965	Game Finished	5	46313
197.432	0.0	Game_Started_scene_reverse_four_elements	6	49358
202.412	4.985	Box start blinking	1	50603
207.948	5.534	Box stop blinking	2	51987
207.948	0.001	WATER selected	7	51987
222.444	14.498	Box start blinking	1	55611
227.98	5.534	Box stop blinking	2	56995
227.98	0.001	ELECTRICITY selected	3	56995
242.512	14.531	Box start blinking	1	60628
248.044	5.534	Box stop blinking	2	62011
248.048	0.001	FIRE selected	4	62012
262.28	14.232	Box start blinking	1	65570
267.812	5.534	Box stop blinking	2	66953
267.812	0.0	WIND selected	8	66953
276.78	8.966	Game Finished	5	69195
289.588	0.0	Game_Started_scene_reverse_four_elements	6	72397
294.584	5.001	Box start blinking	1	73646
300.12	5.535	Box stop blinking	2	75030
300.12	0.001	WATER selected	7	75030
314.62	14.498	Box start blinking	1	78655
320.152	5.534	Box stop blinking	2	80038
320.156	0.001	ELECTRICITY selected	3	80039
334.684	14.531	Box start blinking	1	83671
340.22	5.534	Box stop blinking	2	85055
340.22	0.001	FIRE selected	4	85055
354.452	14.232	Box start blinking	1	88613
359.952	5.501	Box stop blinking	2	89988
359.952	0.0	WIND selected	8	89988
368.952	6.855824	Game Finished	5	92238
