onset	duration	trial_type	value	sample
6.312	0.0	Game_Started_scene_fire	6	1578
14.332	8.027	Box start blinking	1	3583
19.844	5.514	Box stop blinking	2	4961
19.848	0.001	FIRE selected	4	4962
32.124	12.278	Box start blinking	1	8031
37.636	5.511	Box stop blinking	2	9409
37.636	0.0	FIRE selected	4	9409
50.104	12.469	Box start blinking	1	12526
55.608	5.504	Box stop blinking	2	13902
55.608	0.0	FIRE selected	4	13902
68.092	12.483	Box start blinking	1	17023
73.596	5.504	Box stop blinking	2	18399
73.596	0.0	FIRE selected	4	18399
86.08	12.483	Box start blinking	1	21520
91.584	5.504	Box stop blinking	2	22896
91.584	0.0	FIRE selected	4	22896
95.564	3.983	Game Finished	5	23891
100.076	0.0	Game_Started_scene_water	14	25019
108.112	8.037	Box start blinking	1	27028
113.616	5.503	Box stop blinking	2	28404
113.616	0.001	WATER selected	20	28404
125.892	12.275	Box start blinking	1	31473
131.4	5.51	Box stop blinking	2	32850
131.4	0.001	WATER selected	20	32850
143.876	12.476	Box start blinking	1	35969
149.38	5.503	Box stop blinking	2	37345
149.38	0.001	WATER selected	20	37345
161.864	12.483	Box start blinking	1	40466
167.368	5.503	Box stop blinking	2	41842
167.368	0.001	WATER selected	20	41842
179.836	12.469	Box start blinking	1	44959
185.34	5.503	Box stop blinking	2	46335
185.34	0.001	WATER selected	20	46335
189.344	4.003	Game Finished	5	47336
192.48	0.0	Game_Started_scene_wind	18	48120
200.496	8.016	Box start blinking	1	50124
206.0	5.504	Box stop blinking	2	51500
206.0	0.001	WIND selected	21	51500
218.268	12.267	Box start blinking	1	54567
223.772	5.504	Box stop blinking	2	55943
223.772	0.001	WIND selected	21	55943
236.24	12.468	Box start blinking	1	59060
241.744	5.504	Box stop blinking	2	60436
241.744	0.001	WIND selected	21	60436
254.244	12.496	Box start blinking	1	63561
259.744	5.504	Box stop blinking	2	64936
259.744	0.0	WIND selected	21	64936
272.216	12.469	Box start blinking	1	68054
277.72	5.504	Box stop blinking	2	69430
277.72	0.0	WIND selected	21	69430
281.704	3.984	Game Finished	5	70426
285.72	0.0	Game_Started_scene_fire_water	8	71430
293.764	8.044	Box start blinking	1	73441
299.264	5.503	Box stop blinking	2	74816
299.268	0.0	FIRE selected	4	74817
311.54	12.275	Box start blinking	1	77885
317.044	5.504	Box stop blinking	2	79261
317.044	0.0	WATER selected	20	79261
329.516	12.469	Box start blinking	1	82379
335.016	5.504	Box stop blinking	2	83754
335.02	0.0	FIRE selected	4	83755
347.5	12.483	Box start blinking	1	86875
353.004	5.504	Box stop blinking	2	88251
353.004	0.0	WATER selected	20	88251
365.488	12.484	Box start blinking	1	91372
370.992	5.503	Box stop blinking	2	92748
370.992	0.001	FIRE selected	4	92748
383.476	12.484	Box start blinking	1	95869
388.98	5.502	Box stop blinking	2	97245
388.98	0.001	WATER selected	20	97245
392.968	3.99	Game Finished	5	98242
396.94	0.0	Game_Started_scene_fire_wind	11	99235
404.98	8.043	Box start blinking	1	101245
410.484	5.503	Box stop blinking	2	102621
410.484	0.001	FIRE selected	4	102621
422.744	12.261	Box start blinking	1	105686
428.248	5.503	Box stop blinking	2	107062
428.248	0.001	WIND selected	21	107062
440.72	12.469	Box start blinking	1	110180
446.22	5.503	Box stop blinking	2	111555
446.224	0.001	FIRE selected	4	111556
458.708	12.483	Box start blinking	1	114677
464.212	5.504	Box stop blinking	2	116053
464.212	0.001	WIND selected	21	116053
476.7	12.489	Box start blinking	1	119175
482.204	5.504	Box stop blinking	2	120551
482.204	0.0	FIRE selected	4	120551
494.688	12.483	Box start blinking	1	123672
500.192	5.504	Box stop blinking	2	125048
500.192	0.0	WIND selected	21	125048
504.172	3.983	Game Finished	5	126043
509.768	0.0	Game_Started_scene_fire_electricity	7	127442
517.796	8.029	Box start blinking	1	129449
523.3	5.504	Box stop blinking	2	130825
523.3	0.0	FIRE selected	4	130825
535.58	12.282	Box start blinking	1	133895
541.084	5.503	Box stop blinking	2	135271
541.084	0.001	ELECTRICITY selected	3	135271
553.552	12.469	Box start blinking	1	138388
559.056	5.504	Box stop blinking	2	139764
559.056	0.0	FIRE selected	4	139764
571.54	12.483	Box start blinking	1	142885
577.044	5.504	Box stop blinking	2	144261
577.044	0.001	ELECTRICITY selected	3	144261
589.528	12.482	Box start blinking	1	147382
595.032	5.504	Box stop blinking	2	148758
595.032	0.0	FIRE selected	4	148758
607.516	12.483	Box start blinking	1	151879
613.02	5.504	Box stop blinking	2	153255
613.02	0.0	ELECTRICITY selected	3	153255
617.0	3.983	Game Finished	5	154250
619.972	0.0	Game_Started_scene_water_wind	16	154993
627.988	8.016	Box start blinking	1	156997
633.488	5.504	Box stop blinking	2	158372
633.492	0.001	WATER selected	20	158373
645.764	12.275	Box start blinking	1	161441
651.268	5.503	Box stop blinking	2	162817
651.268	0.0	WIND selected	21	162817
663.74	12.469	Box start blinking	1	165935
669.24	5.504	Box stop blinking	2	167310
669.244	0.0	WATER selected	20	167311
681.724	12.484	Box start blinking	1	170431
687.228	5.503	Box stop blinking	2	171807
687.228	0.0	WIND selected	21	171807
699.712	12.485	Box start blinking	1	174928
705.216	5.502	Box stop blinking	2	176304
