onset	duration	trial_type	value	sample
16.064	0.002	Log system started successfully.	16	4016
16.068	0.0	Game_Started_scene_water	11	4017
16.068	0.003	Rest	17	4017
19.024	2.955	Start Listen	18	4756
24.024	5.001	End Listen	4	6006
24.024	0.001	Box start blinking	1	6006
26.032	2.005	Box stop blinking	2	6508
27.068	1.039	WATER selected	19	6767
27.072	0.001	Imagine	15	6768
32.296	5.228	Rest	17	8074
35.796	3.497	Start Listen	18	8949
40.804	5.009	End Listen	4	10201
40.804	0.0	Box start blinking	1	10201
42.808	2.006	Box stop blinking	2	10702
43.816	1.007	WATER selected	19	10954
43.816	0.0	Imagine	15	10954
48.328	4.51	Game Finished	6	12082
56.184	0.001	Log system started successfully.	16	14046
56.188	0.0	Game_Started_scene_water	11	14047
56.188	0.002	Rest	17	14047
59.144	2.959	Start Listen	18	14786
64.148	5.003	End Listen	4	16037
64.148	0.001	Box start blinking	1	16037
66.156	2.005	Box stop blinking	2	16539
67.16	1.007	WATER selected	19	16790
67.16	0.0	Imagine	15	16790
72.444	5.281	Rest	17	18111
75.94	3.497	Start Listen	18	18985
80.948	5.01	End Listen	4	20237
80.948	0.0	Box start blinking	1	20237
82.956	2.005	Box stop blinking	2	20739
83.96	1.007	WATER selected	19	20990
83.96	0.0	Imagine	15	20990
88.46	4.497	Game Finished	6	22115
94.864	0.001	Log system started successfully.	16	23716
94.868	0.0	Game_Started_scene_fire_water	7	23717
94.868	0.002	Rest	17	23717
97.824	2.957	Start Listen	18	24456
102.828	5.004	End Listen	4	25707
102.828	0.0	Box start blinking	1	25707
104.836	2.005	Box stop blinking	2	26209
105.844	1.008	FIRE selected	5	26461
105.844	0.0	Imagine	15	26461
111.124	5.281	Rest	17	27781
114.62	3.496	Start Listen	18	28655
119.624	5.003	End Listen	4	29906
119.624	0.001	Box start blinking	1	29906
121.628	2.005	Box stop blinking	2	30407
122.636	1.007	WATER selected	19	30659
122.636	0.0	Imagine	15	30659
127.14	4.503	Rest	17	31785
130.636	3.497	Start Listen	18	32659
135.64	5.003	End Listen	4	33910
135.64	0.0	Box start blinking	1	33910
137.644	2.006	Box stop blinking	2	34411
138.652	1.006	FIRE selected	5	34663
138.652	0.001	Imagine	15	34663
143.128	4.476	Rest	17	35782
146.624	3.497	Start Listen	18	36656
151.628	5.002	End Listen	4	37907
151.628	0.001	Box start blinking	1	37907
153.632	2.005	Box stop blinking	2	38408
154.64	1.007	WATER selected	19	38660
154.64	0.001	Imagine	15	38660
159.116	4.475	Game Finished	6	39779
170.536	0.001	Log system started successfully.	16	42634
170.536	0.0	Game_Started_scene_water_wind	13	42634
170.536	0.003	Rest	17	42634
173.52	2.984	Start Listen	18	43380
178.524	5.003	End Listen	4	44631
178.524	0.0	Box start blinking	1	44631
180.528	2.005	Box stop blinking	2	45132
181.536	1.008	WATER selected	19	45384
181.536	0.0	Imagine	15	45384
186.796	5.26	Rest	17	46699
190.292	3.496	Start Listen	18	47573
195.296	5.003	End Listen	4	48824
195.296	0.0	Box start blinking	1	48824
197.304	2.006	Box stop blinking	2	49326
198.308	1.007	WIND selected	20	49577
198.308	0.001	Imagine	15	49577
202.82	4.51	Rest	17	50705
206.316	3.497	Start Listen	18	51579
211.32	5.002	End Listen	4	52830
211.32	0.001	Box start blinking	1	52830
213.324	2.005	Box stop blinking	2	53331
214.332	1.007	WATER selected	19	53583
214.332	0.0	Imagine	15	53583
218.808	4.476	Rest	17	54702
222.304	3.497	Start Listen	18	55576
227.308	5.003	End Listen	4	56827
227.308	0.0	Box start blinking	1	56827
229.312	2.005	Box stop blinking	2	57328
230.32	1.008	WIND selected	20	57580
230.32	0.0	Imagine	15	57580
234.784	4.462	Game Finished	6	58696
243.592	0.001	Log system started successfully.	16	60898
243.592	0.0	Game_Started_scene_water_electricity	12	60898
243.592	0.003	Rest	17	60898
246.58	2.985	Start Listen	18	61645
251.584	5.003	End Listen	4	62896
251.584	0.0	Box start blinking	1	62896
253.588	2.005	Box stop blinking	2	63397
254.596	1.007	WATER selected	19	63649
254.596	0.001	Imagine	15	63649
259.86	5.266	Rest	17	64965
263.36	3.498	Start Listen	18	65840
268.36	5.002	End Listen	4	67090
268.36	0.001	Box start blinking	1	67090
270.368	2.006	Box stop blinking	2	67592
