onset	duration	trial_type	value	sample
77.932	0.001	Log system started successfully.	20	19483
77.936	0.0	Game_Started_scene_fire	8	19484
77.936	0.003	Rest	21	19484
80.9	2.963	Start Listen	22	20225
85.904	5.004	End Listen	4	21476
85.904	0.001	Box start blinking	1	21476
87.908	2.004	Box stop blinking	2	21977
88.928	1.02	FIRE selected	5	22232
88.928	0.0	Imagine	19	22232
94.192	5.261	Rest	21	23548
97.688	3.497	Start Listen	22	24422
102.692	5.003	End Listen	4	25673
102.692	0.0	Box start blinking	1	25673
104.696	2.006	Box stop blinking	2	26174
105.704	1.007	FIRE selected	5	26426
105.704	0.0	Imagine	19	26426
110.212	4.51	Game Finished	6	27553
163.948	0.001	Log system started successfully.	20	40987
163.948	0.0	Game_Started_scene_water	14	40987
163.952	0.002	Rest	21	40988
166.936	2.985	Start Listen	22	41734
171.94	5.003	End Listen	4	42985
171.94	0.001	Box start blinking	1	42985
173.944	2.006	Box stop blinking	2	43486
174.952	1.007	WATER selected	23	43738
174.952	0.0	Imagine	19	43738
180.224	5.273	Rest	21	45056
183.724	3.497	Start Listen	22	45931
188.724	5.003	End Listen	4	47181
188.724	0.0	Box start blinking	1	47181
190.732	2.006	Box stop blinking	2	47683
191.736	1.007	WATER selected	23	47934
191.736	0.0	Imagine	19	47934
196.228	4.489	Game Finished	6	49057
213.792	0.001	Log system started successfully.	20	53448
213.796	0.0	Game_Started_scene_wind	17	53449
213.796	0.002	Rest	21	53449
213.796	0.0	Rest	21	53449
216.78	2.987	Start Listen	22	54195
216.78	0.0	Start Listen	22	54195
221.784	5.002	End Listen	4	55446
221.784	0.001	Box start blinking	1	55446
221.784	0.0	End Listen	4	55446
221.784	0.0	Box start blinking	1	55446
223.784	1.998	Box stop blinking	2	55946
223.784	0.001	Box stop blinking	2	55946
224.792	1.008	WIND selected	24	56198
224.792	0.0	Imagine	19	56198
224.792	0.0	WIND selected	24	56198
224.792	0.0	Imagine	19	56198
230.052	5.258	Rest	21	57513
233.548	3.497	Start Listen	22	58387
234.916	1.368	Rest	21	58729
238.412	3.497	Start Listen	22	59603
238.552	0.138	End Listen	4	59638
238.552	0.0	Box start blinking	1	59638
240.556	2.006	Box stop blinking	2	60139
241.564	1.007	WIND selected	24	60391
241.564	0.0	Imagine	19	60391
243.416	1.852	End Listen	4	60854
243.416	0.0	Box start blinking	1	60854
245.42	2.006	Box stop blinking	2	61355
246.072	0.652	Game Finished	6	61518
260.536	0.0	Log system started successfully.	20	65134
260.54	0.0	Game_Started_scene_electricity	7	65135
260.54	0.003	Rest	21	65135
263.524	2.986	Start Listen	22	65881
268.528	5.004	End Listen	4	67132
268.528	0.0	Box start blinking	1	67132
270.536	2.005	Box stop blinking	2	67634
271.54	1.007	ELECTRICITY selected	3	67885
271.54	0.001	Imagine	19	67885
276.808	5.266	Rest	21	69202
280.304	3.497	Start Listen	22	70076
285.308	5.003	End Listen	4	71327
285.308	0.0	Box start blinking	1	71327
287.312	2.006	Box stop blinking	2	71828
