onset	duration	trial_type	value	sample
8.792	0.0	Game_Started_scene_fire	8	2198
8.792	0.004	Rest	23	2198
11.792	3.001	Start Listen	24	2948
16.796	5.003	End Listen	4	4199
16.796	0.0	Box start blinking	1	4199
19.8	3.006	Box stop blinking	2	4950
19.8	0.0	FIRE selected	5	4950
19.8	0.001	Imagine	22	4950
24.096	4.294	Rest	23	6024
27.592	3.497	Start Listen	24	6898
32.596	5.003	End Listen	4	8149
32.596	0.0	Box start blinking	1	8149
35.6	3.005	Box stop blinking	2	8900
35.6	0.001	FIRE selected	5	8900
35.604	0.0	Imagine	22	8901
39.12	3.518	Rest	23	9780
42.616	3.497	Start Listen	24	10654
47.62	5.002	End Listen	4	11905
47.62	0.001	Box start blinking	1	11905
50.624	3.005	Box stop blinking	2	12656
50.624	0.001	FIRE selected	5	12656
50.624	0.0	Imagine	22	12656
54.096	3.469	Rest	23	13524
57.592	3.497	Start Listen	24	14398
62.596	5.003	End Listen	4	15649
62.596	0.0	Box start blinking	1	15649
65.6	3.005	Box stop blinking	2	16400
65.6	0.001	FIRE selected	5	16400
65.6	0.0	Imagine	22	16400
69.084	3.483	Rest	23	17271
72.58	3.497	Start Listen	24	18145
77.584	5.003	End Listen	4	19396
77.584	0.0	Box start blinking	1	19396
80.588	3.006	Box stop blinking	2	20147
80.592	0.001	FIRE selected	5	20148
80.592	0.0	Imagine	22	20148
84.072	3.482	Game Finished	6	21018
89.076	0.0	Game_Started_scene_water	16	22269
89.076	0.003	Rest	23	22269
92.06	2.985	Start Listen	24	23015
97.064	5.003	End Listen	4	24266
97.064	0.0	Box start blinking	1	24266
100.068	3.005	Box stop blinking	2	25017
100.068	0.001	WATER selected	25	25017
100.068	0.001	Imagine	22	25017
104.372	4.301	Rest	23	26093
107.868	3.497	Start Listen	24	26967
112.872	5.003	End Listen	4	28218
112.872	0.0	Box start blinking	1	28218
115.876	3.006	Box stop blinking	2	28969
115.876	0.001	WATER selected	25	28969
115.88	0.0	Imagine	22	28970
119.376	3.497	Rest	23	29844
122.872	3.496	Start Listen	24	30718
127.872	5.003	End Listen	4	31968
127.876	0.0	Box start blinking	1	31969
130.88	3.005	Box stop blinking	2	32720
130.88	0.001	WATER selected	25	32720
130.88	0.0	Imagine	22	32720
134.364	3.483	Rest	23	33591
137.86	3.497	Start Listen	24	34465
142.864	5.003	End Listen	4	35716
142.864	0.001	Box start blinking	1	35716
145.868	3.005	Box stop blinking	2	36467
145.868	0.0	WATER selected	25	36467
145.868	0.0	Imagine	22	36467
149.36	3.49	Rest	23	37340
152.856	3.497	Start Listen	24	38214
157.86	5.003	End Listen	4	39465
157.86	0.0	Box start blinking	1	39465
160.864	3.007	Box stop blinking	2	40216
160.868	0.0	WATER selected	25	40217
160.868	0.0	Imagine	22	40217
164.348	3.483	Game Finished	6	41087
170.812	0.0	Game_Started_scene_wind	20	42703
170.812	0.003	Rest	23	42703
173.8	2.987	Start Listen	24	43450
178.804	5.003	End Listen	4	44701
178.804	0.0	Box start blinking	1	44701
181.808	3.005	Box stop blinking	2	45452
181.808	0.001	WIND selected	26	45452
181.808	0.0	Imagine	22	45452
186.116	4.309	Rest	23	46529
189.616	3.497	Start Listen	24	47404
194.616	5.003	End Listen	4	48654
194.616	0.0	Box start blinking	1	48654
197.624	3.006	Box stop blinking	2	49406
197.624	0.001	WIND selected	26	49406
197.624	0.0	Imagine	22	49406
201.128	3.503	Rest	23	50282
204.624	3.497	Start Listen	24	51156
209.628	5.002	End Listen	4	52407
209.628	0.001	Box start blinking	1	52407
212.632	3.006	Box stop blinking	2	53158
212.636	0.0	WIND selected	26	53159
212.636	0.001	Imagine	22	53159
216.116	3.482	Rest	23	54029
219.612	3.497	Start Listen	24	54903
