onset	duration	trial_type	value	sample
4.752	0.0	Log system started successfully.	23	1188
4.756	0.0	Game_Started_scene_fire	8	1189
4.756	0.003	Rest	24	1189
7.736	2.98	Start Listen	25	1934
12.74	5.003	End Listen	4	3185
12.74	0.0	Box start blinking	1	3185
14.744	2.006	Box stop blinking	2	3686
15.752	1.007	FIRE selected	5	3938
15.752	0.001	Imagine	22	3938
21.032	5.28	Rest	24	5258
24.528	3.497	Start Listen	25	6132
29.532	5.003	End Listen	4	7383
29.532	0.0	Box start blinking	1	7383
31.536	2.005	Box stop blinking	2	7884
32.544	1.007	FIRE selected	5	8136
32.544	0.001	Imagine	22	8136
37.048	4.503	Game Finished	6	9262
57.484	0.001	Log system started successfully.	23	14371
57.488	0.0	Game_Started_scene_water	16	14372
57.488	0.002	Rest	24	14372
60.468	2.98	Start Listen	25	15117
65.472	5.003	End Listen	4	16368
65.472	0.0	Box start blinking	1	16368
67.476	2.006	Box stop blinking	2	16869
68.484	1.006	WATER selected	26	17121
68.484	0.001	Imagine	22	17121
73.764	5.28	Rest	24	18441
77.26	3.497	Start Listen	25	19315
82.264	5.003	End Listen	4	20566
82.264	0.001	Box start blinking	1	20566
84.272	2.005	Box stop blinking	2	21068
85.276	1.007	WATER selected	26	21319
85.276	0.0	Imagine	22	21319
89.78	4.504	Game Finished	6	22445
100.488	0.001	Log system started successfully.	23	25122
100.492	0.0	Game_Started_scene_wind	20	25123
100.492	0.002	Rest	24	25123
100.492	0.001	Rest	24	25123
103.472	2.979	Start Listen	25	25868
103.472	0.001	Start Listen	25	25868
108.476	5.003	End Listen	4	27119
108.476	0.0	Box start blinking	1	27119
108.476	0.0	End Listen	4	27119
108.476	0.0	Box start blinking	1	27119
110.48	2.005	Box stop blinking	2	27620
110.48	0.001	Box stop blinking	2	27620
111.488	1.007	WIND selected	27	27872
111.488	0.0	Imagine	22	27872
111.488	0.0	WIND selected	27	27872
111.488	0.001	Imagine	22	27872
116.76	5.272	Rest	24	29190
120.256	3.497	Start Listen	25	30064
121.632	1.374	Rest	24	30408
125.128	3.498	Start Listen	25	31282
125.26	0.131	End Listen	4	31315
125.26	0.0	Box start blinking	1	31315
127.268	2.005	Box stop blinking	2	31817
128.272	1.007	WIND selected	27	32068
128.272	0.001	Imagine	22	32068
130.132	1.858	End Listen	4	32533
130.132	0.001	Box start blinking	1	32533
132.14	2.005	Box stop blinking	2	33035
132.776	0.64	Game Finished	6	33194
144.972	0.0	Log system started successfully.	23	36243
144.972	0.0	Game_Started_scene_electricity	7	36243
144.972	0.003	Rest	24	36243
147.952	2.98	Start Listen	25	36988
152.956	5.003	End Listen	4	38239
152.956	0.0	Box start blinking	1	38239
154.96	2.006	Box stop blinking	2	38740
155.968	1.007	ELECTRICITY selected	3	38992
155.968	0.0	Imagine	22	38992
161.244	5.274	Rest	24	40311
164.74	3.496	Start Listen	25	41185
169.744	5.004	End Listen	4	42436
169.744	0.0	Box start blinking	1	42436
171.748	2.006	Box stop blinking	2	42937
172.756	1.006	ELECTRICITY selected	3	43189
172.756	0.0	Imagine	22	43189
177.26	4.504	Game Finished	6	44315
195.156	0.0	Log system started successfully.	23	48789
195.16	0.0	Game_Started_scene_fire_water	10	48790
195.16	0.003	Rest	24	48790
198.14	2.979	Start Listen	25	49535
203.144	5.004	End Listen	4	50786
203.144	0.0	Box start blinking	1	50786
205.148	2.005	Box stop blinking	2	51287
206.156	1.007	FIRE selected	5	51539
206.156	0.0	Imagine	22	51539
211.428	5.274	Rest	24	52857
214.924	3.497	Start Listen	25	53731
219.928	5.003	End Listen	4	54982
219.928	0.0	Box start blinking	1	54982
221.936	2.005	Box stop blinking	2	55484
222.94	1.007	WATER selected	26	55735
222.94	0.0	Imagine	22	55735
227.444	4.504	Rest	24	56861
230.94	3.497	Start Listen	25	57735
235.944	5.003	End Listen	4	58986
235.944	0.0	Box start blinking	1	58986
237.952	2.005	Box stop blinking	2	59488
238.956	1.007	FIRE selected	5	59739
238.956	0.0	Imagine	22	59739
243.46	4.504	Rest	24	60865
246.956	3.497	Start Listen	25	61739
251.96	5.003	End Listen	4	62990
251.96	0.0	Box start blinking	1	62990
253.968	2.005	Box stop blinking	2	63492
254.972	1.007	WATER selected	26	63743
254.972	0.0	Imagine	22	63743
259.464	4.49	Game Finished	6	64866
269.624	0.001	Log system started successfully.	23	67406
269.628	0.0	Game_Started_scene_fire_wind	13	67407
269.628	0.003	Rest	24	67407
272.604	2.978	Start Listen	25	68151
277.608	5.003	End Listen	4	69402
277.608	0.001	Box start blinking	1	69402
279.616	2.005	Box stop blinking	2	69904
280.62	1.006	FIRE selected	5	70155
280.62	0.001	Imagine	22	70155
285.896	5.274	Rest	24	71474
289.392	3.496	Start Listen	25	72348
294.396	5.003	End Listen	4	73599
294.396	0.001	Box start blinking	1	73599
296.4	2.005	Box stop blinking	2	74100
297.408	1.007	WIND selected	27	74352
297.408	0.0	Imagine	22	74352
301.912	4.504	Rest	24	75478
305.408	3.497	Start Listen	25	76352
310.412	5.003	End Listen	4	77603
310.412	0.0	Box start blinking	1	77603
312.416	2.005	Box stop blinking	2	78104
313.424	1.007	FIRE selected	5	78356
313.424	0.0	Imagine	22	78356
317.928	4.504	Rest	24	79482
321.424	3.496	Start Listen	25	80356
326.428	5.004	End Listen	4	81607
326.428	0.0	Box start blinking	1	81607
328.432	2.005	Box stop blinking	2	82108
329.44	1.007	WIND selected	27	82360
329.44	0.0	Imagine	22	82360
333.908	4.469	Game Finished	6	83477
346.784	0.0	Log system started successfully.	23	86696
346.788	0.0	Game_Started_scene_fire_electricity	9	86697
346.788	0.003	Rest	24	86697
349.764	2.977	Start Listen	25	87441
354.768	5.003	End Listen	4	88692
354.768	0.0	Box start blinking	1	88692
356.776	2.006	Box stop blinking	2	89194
357.78	1.007	FIRE selected	5	89445
357.78	0.0	Imagine	22	89445
363.06	5.281	Rest	24	90765
366.56	3.496	Start Listen	25	91640
371.56	5.004	End Listen	4	92890
371.564	0.0	Box start blinking	1	92891
373.568	2.005	Box stop blinking	2	93392
374.576	1.007	ELECTRICITY selected	3	93644
374.576	0.0	Imagine	22	93644
379.08	4.504	Rest	24	94770
382.576	3.497	Start Listen	25	95644
387.58	5.003	End Listen	4	96895
387.58	0.0	Box start blinking	1	96895
389.584	2.005	Box stop blinking	2	97396
390.592	1.008	FIRE selected	5	97648
390.592	0.0	Imagine	22	97648
395.08	4.489	Rest	24	98770
398.576	3.497	Start Listen	25	99644
403.58	5.003	End Listen	4	100895
403.58	0.001	Box start blinking	1	100895
405.584	2.005	Box stop blinking	2	101396
406.592	1.006	ELECTRICITY selected	3	101648
406.592	0.001	Imagine	22	101648
411.084	4.49	Game Finished	6	102771
422.688	0.001	Log system started successfully.	23	105672
