onset	duration	trial_type	value	sample
29.7	0.0	Game_Started_scene_fire	9	7425
29.7	0.006	Rest	25	7425
32.608	2.908	Start Listen	26	8152
37.604	4.996	End Listen	4	9401
37.604	0.0	Box start blinking	1	9401
40.64	3.037	Box stop blinking	2	10160
40.64	0.001	FIRE selected	5	10160
40.64	0.0	Imagine	24	10160
44.032	3.388	Rest	25	11008
47.508	3.477	Start Listen	26	11877
52.512	5.004	End Listen	4	13128
52.512	0.0	Box start blinking	1	13128
55.524	3.011	Box stop blinking	2	13881
55.524	0.001	FIRE selected	5	13881
55.524	0.0	Imagine	24	13881
59.028	3.505	Rest	25	14757
62.512	3.482	Start Listen	26	15628
67.508	4.997	End Listen	4	16877
67.508	0.0	Box start blinking	1	16877
70.504	2.998	Box stop blinking	2	17626
70.504	0.0	FIRE selected	5	17626
70.504	0.001	Imagine	24	17626
74.032	3.525	Rest	25	18508
77.504	3.475	Start Listen	26	19376
82.504	4.996	End Listen	4	20626
82.504	0.0	Box start blinking	1	20626
85.5	2.999	Box stop blinking	2	21375
85.504	0.001	FIRE selected	5	21376
85.504	0.0	Imagine	24	21376
89.036	3.533	Rest	25	22259
92.516	3.481	Start Listen	26	23129
97.512	4.996	End Listen	4	24378
97.512	0.001	Box start blinking	1	24378
100.512	2.998	Box stop blinking	2	25128
100.512	0.001	FIRE selected	5	25128
100.512	0.0	Imagine	24	25128
104.032	3.518	Game Finished	6	26008
116.144	0.0	Game_Started_scene_water	18	29036
116.144	0.002	Rest	25	29036
119.136	2.995	Start Listen	26	29784
124.132	4.995	End Listen	4	31033
124.132	0.001	Box start blinking	1	31033
127.132	2.999	Box stop blinking	2	31783
127.132	0.0	WATER selected	27	31783
127.132	0.0	Imagine	24	31783
131.464	4.331	Rest	25	32866
134.944	3.481	Start Listen	26	33736
139.94	4.996	End Listen	4	34985
139.94	0.0	Box start blinking	1	34985
142.94	2.999	Box stop blinking	2	35735
142.94	0.001	WATER selected	27	35735
142.94	0.0	Imagine	24	35735
146.5	3.56	Rest	25	36625
149.976	3.475	Start Listen	26	37494
154.972	4.997	End Listen	4	38743
154.972	0.0	Box start blinking	1	38743
157.968	2.997	Box stop blinking	2	39492
157.972	0.001	WATER selected	27	39493
157.972	0.001	Imagine	24	39493
161.496	3.526	Rest	25	40374
164.98	3.482	Start Listen	26	41245
169.972	4.995	End Listen	4	42493
169.976	0.0	Box start blinking	1	42494
172.972	2.999	Box stop blinking	2	43243
172.972	0.0	WATER selected	27	43243
172.972	0.001	Imagine	24	43243
176.484	3.509	Rest	25	44121
179.968	3.484	Start Listen	26	44992
184.972	5.005	End Listen	4	46243
184.972	0.001	Box start blinking	1	46243
187.976	3.004	Box stop blinking	2	46994
187.976	0.001	WATER selected	27	46994
187.98	0.0	Imagine	24	46995
191.48	3.503	Game Finished	6	47870
210.092	0.0	Game_Started_scene_wind	22	52523
210.092	0.003	Rest	25	52523
213.088	2.998	Start Listen	26	53272
218.084	4.997	End Listen	4	54521
218.088	0.0	Box start blinking	1	54522
221.092	3.005	Box stop blinking	2	55273
221.092	0.001	WIND selected	28	55273
221.092	0.0	Imagine	24	55273
225.416	4.324	Rest	25	56354
228.892	3.474	Start Listen	26	57223
233.892	5.003	End Listen	4	58473
233.892	0.0	Box start blinking	1	58473
236.9	3.006	Box stop blinking	2	59225
236.9	0.0	WIND selected	28	59225
236.9	0.0	Imagine	24	59225
240.428	3.53	Rest	25	60107
243.916	3.485	Start Listen	26	60979
248.912	4.997	End Listen	4	62228
248.912	0.0	Box start blinking	1	62228
251.908	2.998	Box stop blinking	2	62977
251.908	0.001	WIND selected	28	62977
251.908	0.0	Imagine	24	62977
255.432	3.522	Rest	25	63858
258.912	3.478	Start Listen	26	64728
263.908	4.996	End Listen	4	65977
263.908	0.001	Box start blinking	1	65977
