onset	duration	trial_type	value	sample
2.0	0.0	Experiment_Start_Sub_sub-01_Ses_ses-03_Paradigm_MusicMemoryRecall6Track	8	500
2.0	0.0	Trial_Start_1_Track_Track_1	56	500
2.0	1.0	Cue_Audio_Sample_Track_1	1	500
5.032	4.0	Task_Recall_Track_1	10	1258
10.04	0.0	Rest	9	2510
12.544	0.0	Trial_End_1	16	3136
12.548	0.0	Trial_Start_2_Track_Track_4	67	3137
12.548	1.0	Cue_Audio_Sample_Track_4	4	3137
15.552	4.0	Task_Recall_Track_4	13	3888
20.552	0.0	Rest	9	5138
23.064	0.0	Trial_End_2	27	5766
23.064	0.0	Trial_Start_3_Track_Track_6	69	5766
23.064	1.0	Cue_Audio_Sample_Track_6	6	5766
26.068	4.0	Task_Recall_Track_6	15	6517
31.068	0.0	Rest	9	7767
33.576	0.0	Trial_End_3	38	8394
33.576	0.0	Trial_Start_4_Track_Track_1	70	8394
33.576	1.0	Cue_Audio_Sample_Track_1	1	8394
36.58	4.0	Task_Recall_Track_1	10	9145
41.576	0.0	Rest	9	10394
44.08	0.0	Trial_End_4	40	11020
44.08	0.0	Trial_Start_5_Track_Track_3	71	11020
44.08	1.0	Cue_Audio_Sample_Track_3	3	11020
47.08	4.0	Task_Recall_Track_3	12	11770
52.092	0.0	Rest	9	13023
54.584	0.0	Trial_End_5	41	13646
54.584	0.0	Trial_Start_6_Track_Track_6	72	13646
54.584	1.0	Cue_Audio_Sample_Track_6	6	13646
57.58	4.0	Task_Recall_Track_6	15	14395
62.58	0.0	Rest	9	15645
65.096	0.0	Trial_End_6	42	16274
65.096	0.0	Trial_Start_7_Track_Track_3	73	16274
65.096	1.0	Cue_Audio_Sample_Track_3	3	16274
68.1	4.0	Task_Recall_Track_3	12	17025
73.096	0.0	Rest	9	18274
75.6	0.0	Trial_End_7	43	18900
75.6	0.0	Trial_Start_8_Track_Track_1	74	18900
75.6	1.0	Cue_Audio_Sample_Track_1	1	18900
