onset	duration	trial_type	value	sample
167.228	0.0	Song_Start	10	41807
167.688	0.0	Arrow_Left_Spawn	2	41922
168.188	0.0	Arrow_Left_Spawn	2	42047
168.688	0.0	Arrow_Left_Spawn	2	42172
169.188	0.0	Arrow_Left_Spawn	2	42297
169.688	0.0	Arrow_Left_Spawn	2	42422
169.74	0.0	Left_Pressed	8	42435
169.744	0.0	Left_Great	4	42436
169.888	0.0	Arrow_Left_HitZone	1	42472
170.144	0.0	Left_Pressed	8	42536
170.144	0.0	Left_Ok	6	42536
170.18	0.0	Arrow_Left_Spawn	2	42545
170.388	0.0	Arrow_Left_HitZone	1	42597
170.68	0.0	Arrow_Left_Spawn	2	42670
170.74	0.0	Left_Pressed	8	42685
170.74	0.0	Left_Great	4	42685
170.888	0.0	Arrow_Left_HitZone	1	42722
171.18	0.0	Arrow_Left_Spawn	2	42795
171.192	0.0	Left_Pressed	8	42798
171.192	0.0	Left_Good	3	42798
171.388	0.0	Arrow_Left_HitZone	1	42847
171.68	0.0	Arrow_Left_Spawn	2	42920
171.72	0.0	Left_Pressed	8	42930
171.72	0.0	Left_Good	3	42930
171.888	0.0	Arrow_Left_HitZone	1	42972
172.156	0.0	Left_Pressed	8	43039
172.156	0.0	Left_Ok	6	43039
172.176	0.0	Arrow_Left_Spawn	2	43044
172.38	0.0	Arrow_Left_HitZone	1	43095
172.672	0.0	Left_Pressed	8	43168
172.672	0.0	Left_Ok	6	43168
172.676	0.0	Arrow_Left_Spawn	2	43169
172.88	0.0	Arrow_Left_HitZone	1	43220
173.176	0.0	Left_Pressed	8	43294
173.176	0.0	Left_Ok	6	43294
173.18	0.0	Arrow_Left_Spawn	2	43295
173.38	0.0	Arrow_Left_HitZone	1	43345
173.668	0.0	Left_Pressed	8	43417
173.668	0.0	Left_Ok	6	43417
173.676	0.0	Arrow_Left_Spawn	2	43419
173.876	0.0	Arrow_Left_HitZone	1	43469
174.148	0.0	Left_Pressed	8	43537
174.148	0.0	Left_Ok	6	43537
174.176	0.0	Arrow_Left_Spawn	2	43544
174.376	0.0	Arrow_Left_HitZone	1	43594
174.656	0.0	Left_Pressed	8	43664
174.656	0.0	Left_Ok	6	43664
174.668	0.0	Arrow_Left_Spawn	2	43667
174.876	0.0	Arrow_Left_HitZone	1	43719
175.132	0.0	Left_Pressed	8	43783
175.136	0.0	Left_Ok	6	43784
175.168	0.0	Arrow_Left_Spawn	2	43792
175.376	0.0	Arrow_Left_HitZone	1	43844
175.648	0.0	Left_Pressed	8	43912
175.648	0.0	Left_Ok	6	43912
175.676	0.0	Arrow_Left_Spawn	2	43919
175.884	0.0	Arrow_Left_HitZone	1	43971
176.112	0.0	Left_Pressed	8	44028
176.176	0.0	Arrow_Left_Spawn	2	44044
176.384	0.0	Arrow_Left_HitZone	1	44096
176.388	0.0	Left_Miss	5	44097
176.48	0.0	Left_Pressed	8	44120
176.676	0.0	Arrow_Left_Spawn	2	44169
