name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
CZ	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
2	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
3	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
4	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
5	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
6	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
7	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
8	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
9	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
10	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
11	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
12	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
13	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
14	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
15	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
16	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
17	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
18	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
19	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
20	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
21	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
22	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
23	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
24	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
25	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
26	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
27	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
28	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
29	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
30	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
31	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
32	EEG	µV	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
Battery	MISC	n/a	0.0	125.0	Miscellaneous	250.0	good	n/a
