onset	duration	trial_type	value	sample
44.536	0.1	Experiment_Start_Sub_01_Ses_06_Paradigm_MusicMemoryRecall_CueDur_5.0s	8	11134
44.536	0.1	Trial_Start_1_Track_Track_2	56	11134
44.536	5.0	Cue_Audio_Sample_Track_2	2	11134
49.572	5.0	Task_Recall_Track_2	11	12393
54.58	2.5	Rest	9	13645
57.072	0.1	Trial_End_1	16	14268
57.072	0.1	Trial_Start_2_Track_Track_6	67	14268
57.072	5.0	Cue_Audio_Sample_Track_6	6	14268
62.076	5.0	Task_Recall_Track_6	15	15519
67.08	2.5	Rest	9	16770
69.572	0.1	Trial_End_2	27	17393
69.572	0.1	Trial_Start_3_Track_Track_6	69	17393
69.572	5.0	Cue_Audio_Sample_Track_6	6	17393
74.572	5.0	Task_Recall_Track_6	15	18643
79.576	2.5	Rest	9	19894
82.072	0.1	Trial_End_3	38	20518
82.072	0.1	Trial_Start_4_Track_Track_4	70	20518
82.072	5.0	Cue_Audio_Sample_Track_4	4	20518
87.068	5.0	Task_Recall_Track_4	13	21767
92.068	2.5	Rest	9	23017
94.576	0.1	Trial_End_4	40	23644
94.576	0.1	Trial_Start_5_Track_Track_1	71	23644
94.576	5.0	Cue_Audio_Sample_Track_1	1	23644
99.572	5.0	Task_Recall_Track_1	10	24893
104.58	2.5	Rest	9	26145
107.076	0.1	Trial_End_5	41	26769
107.076	0.1	Trial_Start_6_Track_Track_4	72	26769
107.076	5.0	Cue_Audio_Sample_Track_4	4	26769
112.072	5.0	Task_Recall_Track_4	13	28018
117.068	2.5	Rest	9	29267
119.58	0.1	Trial_End_6	42	29895
119.58	0.1	Trial_Start_7_Track_Track_6	73	29895
119.58	5.0	Cue_Audio_Sample_Track_6	6	29895
124.576	5.0	Task_Recall_Track_6	15	31144
129.572	2.5	Rest	9	32393
132.084	0.1	Trial_End_7	43	33021
132.084	0.1	Trial_Start_8_Track_Track_3	74	33021
132.088	5.0	Cue_Audio_Sample_Track_3	3	33022
137.084	5.0	Task_Recall_Track_3	12	34271
142.092	2.5	Rest	9	35523
144.612	0.1	Trial_End_8	44	36153
144.612	0.1	Trial_Start_9_Track_Track_6	75	36153
144.612	5.0	Cue_Audio_Sample_Track_6	6	36153
149.6	5.0	Task_Recall_Track_6	15	37400
154.604	2.5	Rest	9	38651
157.1	0.1	Trial_End_9	45	39275
157.1	0.1	Trial_Start_10_Track_Track_5	46	39275
157.1	5.0	Cue_Audio_Sample_Track_5	5	39275
162.1	5.0	Task_Recall_Track_5	14	40525
167.104	2.5	Rest	9	41776
169.608	0.1	Trial_End_10	17	42402
169.608	0.1	Trial_Start_11_Track_Track_4	47	42402
169.608	5.0	Cue_Audio_Sample_Track_4	4	42402
174.6	5.0	Task_Recall_Track_4	13	43650
